orig_airport,dest_airport,total_passengers,orig_lon,orig_lat,dest_lon,dest_lat,orig_state,dest_state,orig_city,dest_city
DTW,ERI,58085,-83.35340118408203,42.212398529052734,-80.1738667488,42.0831270134,MI,PA,Detroit,Erie
GPT,GYY,60,-89.07009887695312,30.40730094909668,-87.41280364990234,41.61629867553711,MS,IN,Gulfport,Gary
SBN,GYY,1,-86.31729888916016,41.70869827270508,-87.41280364990234,41.61629867553711,IN,IN,South Bend,Gary
BMG,GYY,47,-86.61669921875,39.14599990844727,-87.41280364990234,41.61629867553711,IN,IN,Bloomington,Gary
RNO,GYY,393,-119.76799774169922,39.49909973144531,-87.41280364990234,41.61629867553711,NV,IN,Reno,Gary
GSO,GYY,54,-79.93730163574219,36.097801208496094,-87.41280364990234,41.61629867553711,NC,IN,Greensboro,Gary
SNA,GYY,135,-117.8679962,33.67570114,-87.41280364990234,41.61629867553711,CA,IN,Santa Ana,Gary
MDW,GYY,6,-87.752403,41.785999,-87.41280364990234,41.61629867553711,IL,IN,Chicago,Gary
ACY,GYY,428,-74.57720184326172,39.45759963989258,-87.41280364990234,41.61629867553711,NJ,IN,Atlantic City,Gary
IND,GYY,117,-86.294403,39.7173,-87.41280364990234,41.61629867553711,IN,IN,Indianapolis,Gary
LBL,HYS,4,-100.9599991,37.04420089999999,-99.27320099,38.84220123,KS,KS,Liberal,Hays
GBD,HYS,590,-98.85919952389999,38.3442993164,-99.27320099,38.84220123,KS,KS,Great Bend,Hays
DDC,HYS,23,-99.9655990600586,37.76340103149414,-99.27320099,38.84220123,KS,KS,Dodge City,Hays
BRL,HYS,3,-91.12550354003906,40.783199310302734,-99.27320099,38.84220123,IA,KS,Burlington,Hays
MHK,HYS,8,-96.6707992553711,39.14099884033203,-99.27320099,38.84220123,KS,KS,Manhattan,Hays
MCI,HYS,2441,-94.713898,39.2976,-99.27320099,38.84220123,MO,KS,Kansas City,Hays
GCK,HYS,22,-100.72399902299999,37.9275016785,-99.27320099,38.84220123,KS,KS,Garden City,Hays
OGG,ITO,49682,-156.429993,20.8986,-155.04800415039062,19.721399307250977,HI,HI,Kahului,Hilo
OAK,ITO,7898,-122.221001,37.721298,-155.04800415039062,19.721399307250977,CA,HI,Oakland,Hilo
HNL,ITO,602940,-157.924228,21.32062,-155.04800415039062,19.721399307250977,HI,HI,Honolulu,Hilo
RST,APC,2,-92.5,43.90829849243164,-122.280998,38.2132,MN,CA,Rochester,Napa
SUS,GUS,14,-90.652000427246,38.662101745605,-86.15209960940003,40.648101806599996,MO,IN,St. Louis,Peru
PDX,RNO,103608,-122.5979996,45.58869934,-119.76799774169922,39.49909973144531,OR,NV,Portland,Reno
SJC,RNO,118019,-121.929001,37.362598,-119.76799774169922,39.49909973144531,CA,NV,San Jose,Reno
RFD,RNO,258,-89.09719848632812,42.19540023803711,-119.76799774169922,39.49909973144531,IL,NV,Rockford,Reno
JFK,RNO,86,-73.7789,40.639801,-119.76799774169922,39.49909973144531,NY,NV,New York,Reno
GRB,RNO,130,-88.12960052490234,44.48509979248047,-119.76799774169922,39.49909973144531,WI,NV,Green Bay,Reno
CLE,RNO,249,-81.8498001099,41.411701202399996,-119.76799774169922,39.49909973144531,OH,NV,Cleveland,Reno
CMI,RNO,94,-88.27809906,40.03919983,-119.76799774169922,39.49909973144531,IL,NV,Champaign,Reno
ANC,RNO,91,-149.99600219726562,61.174400329589844,-119.76799774169922,39.49909973144531,AK,NV,Anchorage,Reno
BWI,RNO,118,-76.668297,39.1754,-119.76799774169922,39.49909973144531,MD,NV,Baltimore,Reno
HNL,RNO,485,-157.924228,21.32062,-119.76799774169922,39.49909973144531,HI,NV,Honolulu,Reno
SEA,RNO,155671,-122.308998,47.449001,-119.76799774169922,39.49909973144531,WA,NV,Seattle,Reno
PHX,RNO,222973,-112.01200103759766,33.43429946899414,-119.76799774169922,39.49909973144531,AZ,NV,Phoenix,Reno
ICT,RNO,517,-97.433098,37.649899,-119.76799774169922,39.49909973144531,KS,NV,Wichita,Reno
PUW,RNO,113,-117.110001,46.7439,-119.76799774169922,39.49909973144531,WA,NV,Pullman,Reno
GEG,RNO,6828,-117.53399658203124,47.61989974975586,-119.76799774169922,39.49909973144531,WA,NV,Spokane,Reno
AZA,RNO,487,-111.6549988,33.30780029,-119.76799774169922,39.49909973144531,AZ,NV,Phoenix,Reno
OAK,RNO,95230,-122.221001,37.721298,-119.76799774169922,39.49909973144531,CA,NV,Oakland,Reno
IAH,RNO,49654,-95.34140014648438,29.98439979553223,-119.76799774169922,39.49909973144531,TX,NV,Houston,Reno
MEM,RNO,276,-89.97669982910156,35.04240036010742,-119.76799774169922,39.49909973144531,TN,NV,Memphis,Reno
MOD,RNO,13,-120.9540024,37.62580109,-119.76799774169922,39.49909973144531,CA,NV,Modesto,Reno
LBB,RNO,408,-101.822998,33.663601,-119.76799774169922,39.49909973144531,TX,NV,Lubbock,Reno
OGG,RNO,124,-156.429993,20.8986,-119.76799774169922,39.49909973144531,HI,NV,Kahului,Reno
JAN,RNO,227,-90.0758972168,32.3111991882,-119.76799774169922,39.49909973144531,MS,NV,Jackson,Reno
MSN,RNO,91,-89.3375015258789,43.13990020751953,-119.76799774169922,39.49909973144531,WI,NV,Madison,Reno
LNK,RNO,124,-96.75920104980469,40.85100173950195,-119.76799774169922,39.49909973144531,NE,NV,Lincoln,Reno
GRK,RNO,206,-97.8289031982,31.067199706999997,-119.76799774169922,39.49909973144531,TX,NV,Killeen,Reno
MOB,RNO,115,-88.242797851562,30.691200256348,-119.76799774169922,39.49909973144531,AL,NV,Mobile,Reno
MLU,RNO,253,-92.0376968383789,32.51089859008789,-119.76799774169922,39.49909973144531,LA,NV,Monroe,Reno
DFW,RNO,134385,-97.038002,32.896801,-119.76799774169922,39.49909973144531,TX,NV,Dallas,Reno
DAL,RNO,256,-96.851799,32.847099,-119.76799774169922,39.49909973144531,TX,NV,Dallas,Reno
FAT,RNO,626,-119.718002,36.776199,-119.76799774169922,39.49909973144531,CA,NV,Fresno,Reno
DAY,RNO,70,-84.21939849853516,39.90240097045898,-119.76799774169922,39.49909973144531,OH,NV,Dayton,Reno
BOS,RNO,188,-71.00520325,42.36429977,-119.76799774169922,39.49909973144531,MA,NV,Boston,Reno
TUL,RNO,461,-95.88809967041016,36.19839859008789,-119.76799774169922,39.49909973144531,OK,NV,Tulsa,Reno
AUS,RNO,862,-97.6698989868164,30.194499969482425,-119.76799774169922,39.49909973144531,TX,NV,Austin,Reno
OMA,RNO,333,-95.894096,41.3032,-119.76799774169922,39.49909973144531,NE,NV,Omaha,Reno
ACT,RNO,122,-97.23049926757812,31.61129951477051,-119.76799774169922,39.49909973144531,TX,NV,Waco,Reno
EKO,RNO,84,-115.79199981689452,40.82490158081055,-119.76799774169922,39.49909973144531,NV,NV,Elko,Reno
GYY,RNO,121,-87.41280364990234,41.61629867553711,-119.76799774169922,39.49909973144531,IN,NV,Gary,Reno
RDM,RNO,206,-121.1500015,44.2541008,-119.76799774169922,39.49909973144531,OR,NV,Bend,Reno
LGU,RNO,113,-111.851997375,41.7911987305,-119.76799774169922,39.49909973144531,UT,NV,Logan,Reno
TUS,RNO,6326,-110.94100189208984,32.116100311279304,-119.76799774169922,39.49909973144531,AZ,NV,Tucson,Reno
CWA,RNO,267,-89.6668014526,44.7775993347,-119.76799774169922,39.49909973144531,WI,NV,Wausau,Reno
PIA,RNO,127,-89.6932983398,40.664199829100006,-119.76799774169922,39.49909973144531,IL,NV,Peoria,Reno
TOL,RNO,91,-83.80780029,41.58679962,-119.76799774169922,39.49909973144531,OH,NV,Toledo,Reno
FOE,RNO,119,-95.6635971069,38.9509010315,-119.76799774169922,39.49909973144531,KS,NV,Topeka,Reno
SFO,RNO,98044,-122.375,37.61899948120117,-119.76799774169922,39.49909973144531,CA,NV,San Francisco,Reno
SPS,RNO,378,-98.491898,33.9888,-119.76799774169922,39.49909973144531,TX,NV,Wichita Falls,Reno
OKC,RNO,512,-97.60070037841795,35.39310073852539,-119.76799774169922,39.49909973144531,OK,NV,Oklahoma City,Reno
LCH,RNO,213,-93.22329711914062,30.12610054016113,-119.76799774169922,39.49909973144531,LA,NV,Lake Charles,Reno
IND,RNO,103,-86.294403,39.7173,-119.76799774169922,39.49909973144531,IN,NV,Indianapolis,Reno
CRP,RNO,268,-97.5011978149414,27.77039909362793,-119.76799774169922,39.49909973144531,TX,NV,Corpus Christi,Reno
SLC,RNO,123072,-111.97799682617188,40.78839874267578,-119.76799774169922,39.49909973144531,UT,NV,Salt Lake City,Reno
COS,RNO,128,-104.700996,38.805801,-119.76799774169922,39.49909973144531,CO,NV,Colorado Springs,Reno
SPI,RNO,384,-89.67790222,39.84410095,-119.76799774169922,39.49909973144531,IL,NV,Springfield,Reno
LAX,RNO,186723,-118.407997,33.942501,-119.76799774169922,39.49909973144531,CA,NV,Los Angeles,Reno
SAT,RNO,516,-98.469803,29.533701,-119.76799774169922,39.49909973144531,TX,NV,San Antonio,Reno
SGF,RNO,261,-93.38860321,37.24570084,-119.76799774169922,39.49909973144531,MO,NV,Springfield,Reno
MSY,RNO,221,-90.25800323486328,29.99340057373047,-119.76799774169922,39.49909973144531,LA,NV,New Orleans,Reno
MSP,RNO,123,-93.221802,44.882,-119.76799774169922,39.49909973144531,MN,NV,Minneapolis,Reno
XNA,RNO,86,-94.306801,36.281898,-119.76799774169922,39.49909973144531,AR,NV,Fayetteville,Reno
GRR,RNO,136,-85.52279663,42.88079834,-119.76799774169922,39.49909973144531,MI,NV,Grand Rapids,Reno
SJT,RNO,274,-100.49600219726562,31.35770034790039,-119.76799774169922,39.49909973144531,TX,NV,San Angelo,Reno
SMF,RNO,1070,-121.59100341796876,38.69540023803711,-119.76799774169922,39.49909973144531,CA,NV,Sacramento,Reno
ABQ,RNO,596,-106.609001,35.040199,-119.76799774169922,39.49909973144531,NM,NV,Albuquerque,Reno
LIT,RNO,225,-92.22429656979999,34.729400634799994,-119.76799774169922,39.49909973144531,AR,NV,Little Rock,Reno
BFL,RNO,335,-119.0569992,35.43360138,-119.76799774169922,39.49909973144531,CA,NV,Bakersfield,Reno
GCK,RNO,275,-100.72399902299999,37.9275016785,-119.76799774169922,39.49909973144531,KS,NV,Garden City,Reno
MCI,RNO,314,-94.713898,39.2976,-119.76799774169922,39.49909973144531,MO,NV,Kansas City,Reno
BTR,RNO,233,-91.149597,30.533199,-119.76799774169922,39.49909973144531,LA,NV,Baton Rouge,Reno
SHV,RNO,684,-93.8256,32.446602,-119.76799774169922,39.49909973144531,LA,NV,Shreveport,Reno
CHA,RNO,107,-85.20379638671875,35.03530120849609,-119.76799774169922,39.49909973144531,TN,NV,Chattanooga,Reno
MDW,RNO,42455,-87.752403,41.785999,-119.76799774169922,39.49909973144531,IL,NV,Chicago,Reno
ORD,RNO,55080,-87.9048,41.9786,-119.76799774169922,39.49909973144531,IL,NV,Chicago,Reno
ELP,RNO,216,-106.37799840000002,31.80719948,-119.76799774169922,39.49909973144531,TX,NV,El Paso,Reno
ATL,RNO,25680,-84.428101,33.6367,-119.76799774169922,39.49909973144531,GA,NV,Atlanta,Reno
ABI,RNO,252,-99.68190002440001,32.4113006592,-119.76799774169922,39.49909973144531,TX,NV,Abilene,Reno
FWA,RNO,128,-85.19509888,40.97850037,-119.76799774169922,39.49909973144531,IN,NV,Fort Wayne,Reno
BLI,RNO,15555,-122.53800201416016,48.79280090332031,-119.76799774169922,39.49909973144531,WA,NV,Bellingham,Reno
CVG,RNO,318,-84.6678009033,39.0488014221,-119.76799774169922,39.49909973144531,OH,NV,Cincinnati,Reno
STL,RNO,383,-90.370003,38.748697,-119.76799774169922,39.49909973144531,MO,NV,St. Louis,Reno
EVV,RNO,100,-87.53240203860001,38.0369987488,-119.76799774169922,39.49909973144531,IN,NV,Evansville,Reno
DSM,RNO,273,-93.66310119628906,41.53400039672852,-119.76799774169922,39.49909973144531,IA,NV,Des Moines,Reno
BHM,RNO,121,-86.75350189,33.56290054,-119.76799774169922,39.49909973144531,AL,NV,Birmingham,Reno
LRU,RNO,118,-106.9219970703125,32.28939819335937,-119.76799774169922,39.49909973144531,NM,NV,Las Cruces,Reno
LAS,RNO,446252,-115.1520004,36.08010101,-119.76799774169922,39.49909973144531,NV,NV,Las Vegas,Reno
BNA,RNO,214,-86.6781997680664,36.1245002746582,-119.76799774169922,39.49909973144531,TN,NV,Nashville,Reno
MKE,RNO,239,-87.89659881591797,42.94720077514648,-119.76799774169922,39.49909973144531,WI,NV,Milwaukee,Reno
SNA,RNO,6798,-117.8679962,33.67570114,-119.76799774169922,39.49909973144531,CA,NV,Santa Ana,Reno
SAN,RNO,74711,-117.190002441,32.7336006165,-119.76799774169922,39.49909973144531,CA,NV,San Diego,Reno
SWO,ACT,271,-97.08570098877001,36.161201477051,-97.23049926757812,31.61129951477051,OK,TX,Stillwater,Waco
CHA,ACT,23,-85.20379638671875,35.03530120849609,-97.23049926757812,31.61129951477051,TN,TX,Chattanooga,Waco
MCI,ACT,74,-94.713898,39.2976,-97.23049926757812,31.61129951477051,MO,TX,Kansas City,Waco
ILG,ACT,82,-75.60649872,39.67869949,-97.23049926757812,31.61129951477051,DE,TX,Wilmington,Waco
ABQ,ACT,82,-106.609001,35.040199,-97.23049926757812,31.61129951477051,NM,TX,Albuquerque,Waco
BTR,ACT,106,-91.149597,30.533199,-97.23049926757812,31.61129951477051,LA,TX,Baton Rouge,Waco
IAD,ACT,131,-77.45580292,38.94449997,-97.23049926757812,31.61129951477051,DC,TX,Washington,Waco
SLC,ACT,35,-111.97799682617188,40.78839874267578,-97.23049926757812,31.61129951477051,UT,TX,Salt Lake City,Waco
CLL,ACT,28,-96.36380005,30.58860016,-97.23049926757812,31.61129951477051,TX,TX,College Station,Waco
OKC,ACT,204,-97.60070037841795,35.39310073852539,-97.23049926757812,31.61129951477051,OK,TX,Oklahoma City,Waco
DSM,ACT,151,-93.66310119628906,41.53400039672852,-97.23049926757812,31.61129951477051,IA,TX,Des Moines,Waco
GSO,ACT,133,-79.93730163574219,36.097801208496094,-97.23049926757812,31.61129951477051,NC,TX,Greensboro,Waco
HSV,ACT,39,-86.775100708008,34.637199401855,-97.23049926757812,31.61129951477051,AL,TX,Huntsville,Waco
BHM,ACT,50,-86.75350189,33.56290054,-97.23049926757812,31.61129951477051,AL,TX,Birmingham,Waco
GSP,ACT,5,-82.2189025879,34.895698547399995,-97.23049926757812,31.61129951477051,SC,TX,Greenville,Waco
AEX,ACT,29,-92.54979705810548,31.32740020751953,-97.23049926757812,31.61129951477051,LA,TX,Alexandria,Waco
STL,ACT,33,-90.370003,38.748697,-97.23049926757812,31.61129951477051,MO,TX,St. Louis,Waco
CVG,ACT,34,-84.6678009033,39.0488014221,-97.23049926757812,31.61129951477051,OH,TX,Cincinnati,Waco
MHK,ACT,63,-96.6707992553711,39.14099884033203,-97.23049926757812,31.61129951477051,KS,TX,Manhattan,Waco
PNS,ACT,43,-87.1866,30.4734,-97.23049926757812,31.61129951477051,FL,TX,Pensacola,Waco
LAS,ACT,104,-115.1520004,36.08010101,-97.23049926757812,31.61129951477051,NV,TX,Las Vegas,Waco
ABI,ACT,24,-99.68190002440001,32.4113006592,-97.23049926757812,31.61129951477051,TX,TX,Abilene,Waco
HOU,ACT,34,-95.27890015,29.64539909,-97.23049926757812,31.61129951477051,TX,TX,Houston,Waco
IAH,ACT,17333,-95.34140014648438,29.98439979553223,-97.23049926757812,31.61129951477051,TX,TX,Houston,Waco
DMA,ACT,30,-110.883003235,32.1665000916,-97.23049926757812,31.61129951477051,AZ,TX,Tucson,Waco
FOE,ACT,35,-95.6635971069,38.9509010315,-97.23049926757812,31.61129951477051,KS,TX,Topeka,Waco
DFW,ACT,45661,-97.038002,32.896801,-97.23049926757812,31.61129951477051,TX,TX,Dallas,Waco
MLU,ACT,59,-92.0376968383789,32.51089859008789,-97.23049926757812,31.61129951477051,LA,TX,Monroe,Waco
FTW,ACT,3,-97.362396,32.819801,-97.23049926757812,31.61129951477051,TX,TX,Dallas,Waco
TYR,ACT,29,-95.40239715576172,32.35409927368164,-97.23049926757812,31.61129951477051,TX,TX,Tyler,Waco
AUS,ACT,135,-97.6698989868164,30.194499969482425,-97.23049926757812,31.61129951477051,TX,TX,Austin,Waco
RNO,ACT,122,-119.76799774169922,39.49909973144531,-97.23049926757812,31.61129951477051,NV,TX,Reno,Waco
TUL,ACT,100,-95.88809967041016,36.19839859008789,-97.23049926757812,31.61129951477051,OK,TX,Tulsa,Waco
COU,ACT,160,-92.219597,38.8181,-97.23049926757812,31.61129951477051,MO,TX,Columbia,Waco
PUW,ACT,119,-117.110001,46.7439,-97.23049926757812,31.61129951477051,WA,TX,Pullman,Waco
BDL,ACT,161,-72.68319702149999,41.9388999939,-97.23049926757812,31.61129951477051,CT,TX,Hartford,Waco
GPT,ACT,37,-89.07009887695312,30.40730094909668,-97.23049926757812,31.61129951477051,MS,TX,Gulfport,Waco
LBB,ACT,286,-101.822998,33.663601,-97.23049926757812,31.61129951477051,TX,TX,Lubbock,Waco
JAN,ACT,79,-90.0758972168,32.3111991882,-97.23049926757812,31.61129951477051,MS,TX,Jackson,Waco
MCO,ACT,50,-81.30899810791016,28.429399490356445,-97.23049926757812,31.61129951477051,FL,TX,Orlando,Waco
LNK,ACT,160,-96.75920104980469,40.85100173950195,-97.23049926757812,31.61129951477051,NE,TX,Lincoln,Waco
SFB,ACT,172,-81.23750305175781,28.7775993347168,-97.23049926757812,31.61129951477051,FL,TX,Orlando,Waco
MEM,ACT,50,-89.97669982910156,35.04240036010742,-97.23049926757812,31.61129951477051,TN,TX,Memphis,Waco
LFT,ACT,39,-91.98760223,30.20529938,-97.23049926757812,31.61129951477051,LA,TX,Lafayette,Waco
CLE,ACT,98,-81.8498001099,41.411701202399996,-97.23049926757812,31.61129951477051,OH,TX,Cleveland,Waco
SAV,ACT,43,-81.20210266,32.12760162,-97.23049926757812,31.61129951477051,GA,TX,Savannah,Waco
BGR,THV,4,-68.82810211181639,44.80739974975586,-76.8730011,39.91699982,ME,PA,Bangor,York
LAS,YUM,1539,-115.1520004,36.08010101,-114.6060028,32.65660095,NV,AZ,Las Vegas,Yuma
SNA,YUM,53,-117.8679962,33.67570114,-114.6060028,32.65660095,CA,AZ,Santa Ana,Yuma
FLG,YUM,38,-111.6709976,35.13850021,-114.6060028,32.65660095,AZ,AZ,Flagstaff,Yuma
IPL,YUM,3110,-115.57900238,32.834201812699995,-114.6060028,32.65660095,CA,AZ,El Centro,Yuma
PHX,YUM,49463,-112.01200103759766,33.43429946899414,-114.6060028,32.65660095,AZ,AZ,Phoenix,Yuma
LAX,YUM,16132,-118.407997,33.942501,-114.6060028,32.65660095,CA,AZ,Los Angeles,Yuma
BFL,YUM,18,-119.0569992,35.43360138,-114.6060028,32.65660095,CA,AZ,Bakersfield,Yuma
OKC,YUM,427,-97.60070037841795,35.39310073852539,-114.6060028,32.65660095,OK,AZ,Oklahoma City,Yuma
SBA,YUM,21,-119.8399963,34.42620087,-114.6060028,32.65660095,CA,AZ,Santa Barbara,Yuma
SLC,YUM,15290,-111.97799682617188,40.78839874267578,-114.6060028,32.65660095,UT,AZ,Salt Lake City,Yuma
SBP,YUM,56,-120.64199829100001,35.2368011475,-114.6060028,32.65660095,CA,AZ,San Luis Obispo,Yuma
FAT,YUM,69,-119.718002,36.776199,-114.6060028,32.65660095,CA,AZ,Fresno,Yuma
DCA,CAK,347,-77.037697,38.8521,-81.44219970703125,40.916099548339844,DC,OH,Washington,Akron
MCI,CAK,69,-94.713898,39.2976,-81.44219970703125,40.916099548339844,MO,OH,Kansas City,Akron
MSP,CAK,128,-93.221802,44.882,-81.44219970703125,40.916099548339844,MN,OH,Minneapolis,Akron
XNA,CAK,44,-94.306801,36.281898,-81.44219970703125,40.916099548339844,AR,OH,Fayetteville,Akron
TOL,CAK,45,-83.80780029,41.58679962,-81.44219970703125,40.916099548339844,OH,OH,Toledo,Akron
BOS,CAK,39732,-71.00520325,42.36429977,-81.44219970703125,40.916099548339844,MA,OH,Boston,Akron
DAY,CAK,34,-84.21939849853516,39.90240097045898,-81.44219970703125,40.916099548339844,OH,OH,Dayton,Akron
TPA,CAK,36360,-82.533203125,27.975500106811523,-81.44219970703125,40.916099548339844,FL,OH,Tampa,Akron
OMA,CAK,85,-95.894096,41.3032,-81.44219970703125,40.916099548339844,NE,OH,Omaha,Akron
ATL,CAK,259151,-84.428101,33.6367,-81.44219970703125,40.916099548339844,GA,OH,Atlanta,Akron
DTW,CAK,45917,-83.35340118408203,42.212398529052734,-81.44219970703125,40.916099548339844,MI,OH,Detroit,Akron
ORD,CAK,37025,-87.9048,41.9786,-81.44219970703125,40.916099548339844,IL,OH,Chicago,Akron
MDW,CAK,169,-87.752403,41.785999,-81.44219970703125,40.916099548339844,IL,OH,Chicago,Akron
CLT,CAK,71162,-80.94309997558594,35.2140007019043,-81.44219970703125,40.916099548339844,NC,OH,Charlotte,Akron
AVL,CAK,36,-82.54180145263672,35.43619918823242,-81.44219970703125,40.916099548339844,NC,OH,Asheville,Akron
LGA,CAK,66047,-73.87259674,40.77719879,-81.44219970703125,40.916099548339844,NY,OH,New York,Akron
RFD,CAK,121,-89.09719848632812,42.19540023803711,-81.44219970703125,40.916099548339844,IL,OH,Rockford,Akron
AVP,CAK,47,-75.72339630130001,41.338500976599995,-81.44219970703125,40.916099548339844,PA,OH,Scranton,Akron
SYR,CAK,172,-76.1063003540039,43.11119842529297,-81.44219970703125,40.916099548339844,NY,OH,Syracuse,Akron
LAS,CAK,4045,-115.1520004,36.08010101,-81.44219970703125,40.916099548339844,NV,OH,Las Vegas,Akron
PIT,CAK,34,-80.23290253,40.49150085,-81.44219970703125,40.916099548339844,PA,OH,Pittsburgh,Akron
PVD,CAK,45,-71.42040300000002,41.732601,-81.44219970703125,40.916099548339844,RI,OH,Providence,Akron
CVG,CAK,13290,-84.6678009033,39.0488014221,-81.44219970703125,40.916099548339844,OH,OH,Cincinnati,Akron
MHT,CAK,84,-71.435699,42.932598,-81.44219970703125,40.916099548339844,NH,OH,Manchester,Akron
FLL,CAK,606,-80.152702,26.072599,-81.44219970703125,40.916099548339844,FL,OH,Fort Lauderdale,Akron
PHL,CAK,15922,-75.24109649658203,39.87189865112305,-81.44219970703125,40.916099548339844,PA,OH,Philadelphia,Akron
ACY,CAK,2009,-74.57720184326172,39.45759963989258,-81.44219970703125,40.916099548339844,NJ,OH,Atlantic City,Akron
MCO,CAK,37517,-81.30899810791016,28.429399490356445,-81.44219970703125,40.916099548339844,FL,OH,Orlando,Akron
CMH,CAK,44,-82.891899,39.998001,-81.44219970703125,40.916099548339844,OH,OH,Columbus,Akron
BDL,CAK,47,-72.68319702149999,41.9388999939,-81.44219970703125,40.916099548339844,CT,OH,Hartford,Akron
GPT,CAK,114,-89.07009887695312,30.40730094909668,-81.44219970703125,40.916099548339844,MS,OH,Gulfport,Akron
PHX,CAK,1,-112.01200103759766,33.43429946899414,-81.44219970703125,40.916099548339844,AZ,OH,Phoenix,Akron
SEA,BTM,12647,-122.308998,47.449001,-112.49700164794922,45.95479965209961,WA,MT,Seattle,Butte
MSO,BTM,50,-114.0910034,46.91630173,-112.49700164794922,45.95479965209961,MT,MT,Missoula,Butte
BZN,BTM,2453,-111.1529999,45.77750015,-112.49700164794922,45.95479965209961,MT,MT,Bozeman,Butte
HLN,BTM,31,-111.98300170898438,46.6068000793457,-112.49700164794922,45.95479965209961,MT,MT,Helena,Butte
EUG,BTM,42,-123.21199798583984,44.12459945678711,-112.49700164794922,45.95479965209961,OR,MT,Eugene,Butte
