orig_airport,dest_airport,total_passengers
PHX,SNA,527667
SNA,PHX,527484
MSP,SEA,527259
SAN,LAS,526155
ORD,STL,524927
CLT,ORD,523372
LAS,SLC,523266
MSY,ATL,521809
SLC,ATL,521698
MIA,LGA,520882
MCO,ORD,519958
ATL,MSY,519019
IAD,SFO,516866
HNL,SFO,516306
SEA,MSP,514573
IAH,ORD,512006
ORD,IAH,511714
LGA,DTW,510515
SFO,HNL,509920
LGA,DCA,508278
DTW,LGA,507780
SFO,IAD,506437
ORD,MCO,505851
SJC,LAX,501977
DCA,LGA,501940
EWR,IAH,501719
IAH,EWR,501394
DFW,SEA,499263
LAX,SJC,499072
DFW,DCA,496193
IAD,ATL,494718
SEA,DFW,493086
SAN,OAK,490223
CLT,MCO,489256
MIA,DFW,489249
DCA,DFW,489138
MIA,JFK,486984
ATL,IAD,484117
ABQ,PHX,482576
BWI,MCO,482434
OAK,SAN,482142
DFW,MIA,482026
JFK,MIA,477116
PDX,SEA,476693
MCO,BWI,476603
PHX,ABQ,476274
DAL,SAT,475231
JFK,BOS,473032
SAT,DAL,472744
MCO,CLT,472717
BOS,JFK,471211
IAD,MCO,471145
SEA,PDX,470801
IAH,DFW,470277
LAX,EWR,467777
BOS,DCA,466813
DFW,SFO,463733
SFO,PHX,461098
CLT,LGA,460930
ATL,SEA,460153
DCA,BOS,459267
MSP,LAX,457983
PIT,ATL,457834
LGA,CLT,457702
EWR,LAX,457367
SEA,ATL,457107
RNO,LAS,456213
PHX,SFO,456121
DFW,IAH,456014
SAN,SMF,455969
EWR,CLT,454748
DFW,SAN,452881
MSP,LAS,452498
SAN,ATL,450724
ATL,PIT,450664
IAH,PHX,450516
SMF,SAN,450187
MCO,IAD,450019
MSP,DFW,449614
CLT,EWR,449290
ATL,SAN,448851
MSY,IAH,448808
LAS,MSP,448697
SFO,DFW,446447
LAS,RNO,446252
PHX,IAH,445128
CHS,ATL,444842
DFW,MSP,444492
CLT,BOS,443338
ATL,PNS,442340
IAH,MSY,442073
LAX,MSP,441673
PNS,ATL,439174
ATL,MCI,436602
BOS,CLT,435174
MCI,ATL,434387
SAN,DFW,434054
OAK,SEA,433724
ATL,CHS,432944
IAH,ATL,432218
SLC,LAX,431808
ATL,IAH,431647
DFW,PHL,431240
DFW,SNA,430579
MDW,ATL,430052
ATL,MDW,430005
MIA,LAX,429774
CLT,DFW,429675
RIC,ATL,429345
PHL,DFW,428531
LAS,IAH,427584
LAX,MIA,426569
DAL,AUS,426067
PVD,BWI,424333
LAX,SLC,424213
ATL,RIC,424160
IAH,LAS,423893
AUS,DAL,423581
SNA,DFW,422985
SEA,OAK,422469
DFW,CLT,421523
BWI,CLT,421108
LAS,DTW,419972
DTW,LAS,417690
ATL,IND,417602
CLT,BWI,417346
ORD,SAN,416696
MCO,MIA,416649
SAV,ATL,415882
BWI,PVD,415550
PHL,LAS,414648
CLT,FLL,414143
LAS,OAK,413081
ATL,MEM,410271
PDX,PHX,408934
MIA,MCO,408708
MEM,ATL,408704
ATL,SAV,408001
DFW,STL,407918
IND,ATL,407871
PHX,PDX,407266
SMF,LAX,406700
SFO,EWR,405733
SAT,IAH,405547
LAS,PHL,405418
PHX,DTW,405395
STL,DFW,405095
JFK,BUF,403892
LAX,SMF,403369
BUF,JFK,401928
SAN,SJC,401632
BOS,MCO,401159
PIT,PHL,399925
ATL,STL,399821
SMF,PHX,398968
OAK,LAS,398642
SJC,SAN,398340
PHX,SMF,397715
LAS,SMF,396289
BOS,SFO,396183
MCO,BOS,395389
MDW,LAS,395107
ORD,MCI,394545
DTW,PHX,394143
SMF,LAS,393392
DAY,ATL,392666
JFK,TPA,391953
MCI,ORD,391629
TPA,PHL,391544
ATL,DAY,390803
TPA,JFK,389781
MDW,MCI,389448
BOS,IAD,389425
LAS,MDW,387638
FLL,CLT,386975
STL,ATL,385869
OGG,LAX,385486
SFO,BOS,385281
IAH,SAT,384723
PHX,PHL,384547
AUS,IAH,382370
PHL,FLL,382068
LAX,OGG,380972
LAS,EWR,380969
PHL,PHX,380837
BOS,PHL,380370
SEA,SLC,379806
PHL,BOS,379372
CLT,PHL,378719
SJC,LAS,378501
EWR,MIA,378489
CLT,TPA,378303
PHL,TPA,378238
EWR,LAS,377867
DCA,MIA,377577
LAS,SJC,377235
FLL,PHL,376421
PHL,PIT,375541
LGA,MCO,375125
SLC,SEA,374924
MCO,IAH,374672
MIA,DCA,374650
PHL,CLT,373351
MCI,MDW,371250
SAN,ORD,369842
PHX,SJC,368692
EWR,SFO,368354
IAH,MCO,367541
MHT,BWI,367316
IAH,AUS,365941
LAX,DTW,365179
BWI,MHT,364840
PHX,OAK,364144
SNA,OAK,363804
MIA,EWR,362919
TPA,CLT,362913
FLL,TPA,362687
OAK,SNA,362437
MCO,MSP,362357
SJC,PHX,361869
IAD,BOS,361546
MCO,LGA,360909
IAH,SEA,360403
OAK,PHX,359609
SNA,LAS,358742
EWR,DFW,358078
TPA,FLL,357928
SNA,ORD,357816
SEA,IAH,357153
SNA,SJC,356672
MSP,MCO,355483
ELP,PHX,355039
SEA,SMF,353564
LAS,SNA,353494
PDX,SFO,353068
LAS,PDX,352005
DFW,DTW,351458
SFO,MSP,351084
DFW,BOS,350655
ATL,MKE,350227
MKE,ATL,350155
DFW,EWR,349687
DTW,PHL,349582
SMF,SEA,349044
PDX,LAS,348359
SJC,SNA,347877
MSP,SFO,347875
DTW,FLL,346564
MIA,BOS,345699
LAX,BOS,345569
SFO,PDX,345281
FLL,DTW,345034
PBI,EWR,344966
BOS,MIA,344737
EWR,PBI,344568
DTW,DCA,344358
TPA,EWR,344334
EWR,TPA,344302
ORD,SNA,344227
SJC,SEA,344169
DTW,DFW,343943
DCA,DTW,343586
PHL,DTW,343582
BOS,DFW,343269
RDU,PHL,341344
MSY,HOU,341314
SEA,SJC,341233
ORD,CLE,341168
IAH,SFO,340644
CLE,ORD,340616
PHL,RDU,340396
ATL,SAT,340187
PHX,EWR,336977
MDW,MCO,335623
PVD,PHL,335396
SFO,IAH,335065
BWI,DTW,335028
PHL,PVD,334571
DTW,CLT,333316
PHX,ELP,332178
HOU,MSY,331866
EWR,PHX,331645
MCO,MDW,331501
SAT,ATL,331378
CLT,PHX,331144
IAD,ORD,330434
CLT,DTW,330295
SEA,SAN,330174
SAN,SEA,329327
BUF,ATL,329113
DTW,MDW,329051
DTW,BWI,328588
ATL,BUF,328421
IND,ORD,325263
PDX,SMF,324907
HNL,SEA,323774
CMH,ORD,323346
LGA,IAH,322677
ORD,IND,321060
MSP,MKE,319679
SAN,IAH,319575
TPA,DFW,319527
IAH,LGA,319427
IAH,SAN,319202
BOS,LAX,318889
LAX,PHL,318456
STL,MDW,318168
PHX,CLT,317700
BOS,FLL,317500
SMF,PDX,317365
DTW,LAX,317051
DFW,ABQ,316966
JFK,ATL,316931
SEA,HNL,316838
PHL,MHT,316498
ORD,PDX,316438
FLL,MCO,316120
DFW,TPA,316042
MHT,PHL,315062
OKC,DFW,314668
FLL,BOS,314289
MDW,STL,314204
IAH,DTW,314105
DTW,IAH,313290
MCO,FLL,313104
CLT,MIA,312575
MCI,DFW,311106
DFW,MCI,310849
ABQ,DFW,310777
ORD,IAD,310244
MKE,MSP,309148
ORD,CMH,309036
ATL,HOU,308863
MIA,CLT,308705
DFW,TUS,308428
PDX,LAX,306393
JFK,PBI,306094
SFO,PHL,306054
ABQ,DAL,305198
BWI,ORD,305191
ORD,BWI,304905
TPA,BWI,304334
DFW,OKC,304048
LAX,PDX,303945
MDW,PHX,303148
BWI,TPA,303146
MDW,DTW,303001
HOU,ATL,302542
DFW,SLC,302190
DAL,MCI,301487
SAN,LAX,300008
ORD,TPA,299631
TUL,DFW,299503
DAL,ABQ,299471
MCI,DAL,299084
PHL,IAH,297618
TUS,DFW,297464
PHL,LAX,296799
PBI,JFK,296787
SLC,DFW,296091
DFW,ELP,295851
IAH,PHL,295715
BNA,DFW,294234
DFW,TUL,293715
ELP,DFW,291991
RDU,CLT,290977
PDX,ORD,290043
FLL,DFW,289641
BWI,BDL,288601
TPA,DTW,288429
BDL,BWI,288006
EWR,BOS,287476
PHX,MDW,285797
IAH,CLT,285628
DFW,BNA,285507
DTW,TPA,285282
SLC,ORD,285047
PHX,JFK,284993
CLT,IAH,284345
DFW,FLL,284329
PIT,CLT,284263
BOS,EWR,283167
JFK,PHX,283124
ORD,RDU,282209
LAS,CLT,282167
ATL,JFK,281786
BOS,BWI,281261
TPA,ORD,280933
BWI,BOS,280737
OAK,PDX,280460
CLT,RDU,280006
ORD,PIT,279885
PHL,MSP,278836
CLT,LAS,278785
PHX,STL,278233
PDX,OAK,278137
FLL,BWI,277376
FLL,ORD,277011
MDW,BWI,276843
BHM,ATL,276783
BWI,DFW,275307
ORD,FLL,275248
BWI,MDW,275175
SEA,SNA,274581
PHL,MIA,274572
ORD,SLC,274531
PIT,ORD,274272
MEM,MSP,274204
DFW,SJC,274012
RDU,ORD,273665
STL,PHX,273604
SEA,EWR,273419
CLT,PIT,273371
MSP,LGA,273343
SLC,PDX,273094
DFW,BWI,272981
LGA,MSP,272631
JFK,ORD,272610
BNA,MDW,272495
SNA,SEA,272401
ORD,JFK,272014
BWI,FLL,271680
IAH,FLL,270914
MDW,BNA,270679
PDX,SLC,270477
MIA,IAH,270419
CLT,JAX,270396
ORD,BDL,270363
ORD,OMA,270291
DFW,MSY,270276
MSP,PHL,270009
MIA,PHL,269097
FLL,IAH,269076
OMA,ORD,268985
LAX,SAN,268816
MSY,DFW,268525
JAX,CLT,268377
BNA,ATL,268268
MSP,MEM,268150
DCA,CLT,268140
IAH,MIA,267846
EWR,SEA,267424
PHL,SFO,267122
CLT,DCA,266751
SJC,DFW,264724
PHX,AUS,264427
ANC,FAI,264198
ATL,BNA,264097
BDL,ATL,263484
DCA,IAH,263217
IAH,DCA,262945
RDU,DFW,261705
FLL,DCA,261178
SEA,JFK,260877
AUS,PHX,260015
ATL,CAK,259151
BNA,BWI,258049
JFK,SEA,257880
SMF,SNA,257197
ATL,BDL,257123
ATL,BHM,257012
DCA,FLL,256975
BDL,ORD,256946
DAL,STL,256649
DFW,RDU,256503
LAX,TUS,256271
SNA,SMF,256258
CAK,ATL,256177
MSP,PDX,255792
PDX,MSP,254418
CLE,IAH,254335
SLC,SAN,252462
JFK,SLC,252384
MSP,DCA,252303
ATL,CVG,251193
TUS,LAX,250337
IAH,CLE,250259
CVG,ATL,250221
BWI,BNA,250161
DTW,BOS,250054
BOS,DTW,250001
LAS,HNL,249826
SJC,PDX,249013
SAN,SLC,248884
DCA,MSP,248169
PIT,MCO,247892
SLC,JFK,247651
SFO,SLC,247466
HNL,LAS,246861
MDW,LAX,246484
IAD,JFK,246337
LAS,CLE,246278
MCO,PIT,246189
STL,DAL,245855
CLE,MDW,245613
BWI,PHX,245286
CLE,LAS,243784
CVG,ORD,243642
PDX,SJC,243625
DTW,BNA,243616
LBB,DAL,243089
ORD,CVG,241870
SLC,SFO,240675
JFK,IAD,240570
LAX,MCO,240333
BUF,ORD,238569
PHX,BWI,238233
PHX,SAT,237856
STL,MCO,237789
FAI,ANC,237643
TPA,IAH,237143
MDW,CLE,237059
LAX,MDW,236702
SAT,PHX,235923
BNA,DTW,235627
LAX,CLT,234284
ALB,BWI,233936
ORD,AUS,233513
ORD,BUF,233343
DTW,MEM,232962
EWR,DTW,232931
DFW,IAD,232930
CMH,MDW,232741
IAH,TPA,232613
MCO,LAX,232514
SFO,CLT,232085
DAL,LBB,231892
MCO,STL,231852
PHL,MDW,231162
DTW,EWR,231055
STL,DTW,231016
IAD,DFW,229988
CVG,SLC,229367
SAN,MSP,229293
BWI,ALB,229191
TUS,PHX,228431
MDW,CMH,228099
DAL,ELP,227463
DTW,STL,227363
AUS,ORD,226807
ELP,DAL,226582
SAN,JFK,225840
RNO,PHX,225696
DTW,IND,224816
MIA,TPA,224750
AMA,DAL,224689
MEM,DTW,224670
IND,MCO,224458
IAH,MSP,224012
CLT,BNA,223967
MSP,SAN,223766
PHX,RNO,222973
MDW,PHL,222720
BNA,CLT,222696
MCO,IND,222696
LIT,DAL,222659
PVD,MCO,222627
ORD,BNA,222599
BWI,BUF,222443
IND,DFW,222362
EWR,MSP,222254
MSP,IAH,221962
PHX,TUS,221917
DTW,GRR,221857
JFK,SAN,221202
DFW,IND,221189
ATL,CMH,220893
ATL,SNA,220871
LGA,RDU,220624
CMH,ATL,219828
BUF,BWI,219587
CLT,PBI,219378
ROC,JFK,219266
SNA,ATL,219158
DAL,LIT,219000
MSP,EWR,217715
TPA,MIA,217580
MCO,PVD,217542
CLT,LAX,217166
SLC,CVG,216951
DAL,AMA,216916
RDU,LGA,216839
PBI,CLT,216492
DCA,MCO,216455
MCO,DCA,215990
TPA,IAD,215330
GRR,DTW,215202
RDU,BWI,215048
MCI,PHX,214239
JFK,ROC,213480
MSP,BOS,213159
MDW,IAD,213152
BWI,RDU,213062
CLT,SFO,212885
STL,LAX,212844
ATL,ROC,212838
IAD,MDW,212741
DAL,MSY,212718
ATL,AUS,212254
IND,DTW,211529
BOS,MSP,211209
SEA,DTW,210999
MSY,DAL,210377
PHL,PBI,210247
LAS,IAD,210021
JFK,MSP,209384
PIT,MDW,209068
PBI,PHL,208448
ATL,FNT,208300
IAD,LAS,207998
OAK,SLC,207897
MSP,CLT,207769
ILM,CLT,207761
PHX,MCI,206921
ROC,ATL,206443
IAH,BOS,206391
BOS,IAH,206341
SLC,OAK,206318
MSP,JFK,206083
FNT,ATL,205985
DFW,COS,205158
LAX,STL,204975
TUS,LAS,204531
AUS,ATL,204530
BNA,ORD,204184
CLT,ILM,203706
RIC,CLT,203212
COS,DFW,203154
ABQ,LAS,203022
HOU,MDW,201743
CLT,IAD,201688
MSP,SLC,201238
SLC,MSP,201236
CLT,RIC,201089
ORD,DSM,200696
CLT,BDL,200503
JFK,BTV,200242
DTW,SEA,199962
BWI,CLE,199793
MDW,PIT,199688
AUS,HOU,199563
CLT,MSP,199468
HOU,SAT,199237
DAL,TUL,198543
MDW,HOU,198473
DFW,PDX,198134
OGG,SFO,198071
LAS,ABQ,197860
IAD,CLT,197522
BTV,JFK,197364
IAH,SNA,197136
IAD,TPA,197106
MCO,CLE,197087
ATL,GPT,197084
CLE,BWI,196863
BDL,MCO,196596
MCO,BDL,196169
BDL,CLT,196152
PHX,OMA,196058
CLE,MCO,196047
MDW,OMA,195792
TUL,DAL,195692
LAS,MCI,195678
MSY,CLT,195596
PDX,GEG,195522
GPT,ATL,195175
GEG,PDX,194987
DSM,ORD,194877
CHS,CLT,194757
SFO,MIA,194541
PBI,LGA,194197
OMA,MDW,193816
JFK,RDU,193719
PDX,DFW,193621
LGA,PBI,193621
SFO,OGG,193291
OMA,PHX,193224
LAS,BWI,193061
BWI,LAS,192584
SAT,HOU,192148
HNL,PHX,191672
MKE,DTW,191558
GRR,ORD,191300
SNA,IAH,191280
LAS,IND,190656
CLT,MYR,190654
RDU,JFK,190512
LAS,TUS,190025
DTW,SFO,189968
IAH,BWI,189595
MYR,CLT,189496
BWI,IAH,189494
CLT,MEM,189296
CLT,MSY,189257
MCI,LAS,188576
PHX,HNL,188444
PHL,CMH,188366
IND,CLT,188314
BWI,STL,188103
CLT,CHS,187934
MIA,SFO,187801
BUF,MCO,187769
HOU,AUS,187585
BOS,TPA,187424
STL,MSP,187396
DAL,MAF,187369
TPA,MDW,187321
IND,LAS,187301
MEM,CLT,186960
LAX,RNO,186723
JFK,CLT,186282
CMH,PHL,186077
SYR,JFK,185943
LAS,MKE,185886
GSO,CLT,185704
PBI,BOS,185483
TPA,BOS,185330
MSP,STL,185016
CLT,JFK,184743
ORD,GRR,184490
PDX,IAH,184196
MKE,LAS,184123
BOS,PBI,184055
ORD,MEM,183915
RNO,LAX,183546
MDW,TPA,183291
IAH,PDX,182893
MEM,ORD,182533
BNA,MCO,182431
MAF,DAL,182330
MDW,MSP,181951
STL,LAS,181937
DFW,OMA,181933
PVD,CLT,181853
IAH,SLC,181759
CLT,PVD,181617
OMA,DFW,181525
MCO,BNA,181335
ABQ,LAX,181263
SAN,IAD,181100
CLE,ATL,180796
IND,MSP,180753
TLH,ATL,180554
MCO,BUF,180315
SFO,DTW,180212
AUS,LAX,180148
CLT,BUF,179905
ATL,CLE,179834
STL,MCI,179697
MCI,MSP,179678
PDX,ATL,179677
MDW,OAK,178891
CLT,CLE,178828
LAX,AUS,178441
JFK,SYR,178156
ATL,TLH,178039
SLC,SNA,177605
SLC,IAH,177335
MKE,MCO,177226
EWR,CLE,177093
SNA,SFO,176641
OAK,MDW,176467
LAX,ABQ,176321
CLE,CLT,176092
SEA,OGG,175758
ATL,PDX,175707
STL,PHL,174730
MEM,DFW,174539
MKE,PHX,174282
STL,BWI,174248
MSP,MCI,174147
MDW,SAN,173918
DFW,MEM,173813
PHX,MKE,173560
LAS,STL,173196
MCO,CVG,173163
PHL,STL,173155
CLE,EWR,172857
LIT,DFW,172353
DTW,MKE,172077
MSP,MDW,171925
LAX,CVG,171910
ORD,SAT,171551
LGA,CVG,171402
MCI,STL,171380
MCO,MKE,171316
SNA,SLC,171267
BUF,CLT,171215
MSN,ORD,171099
SFO,SNA,171093
ATL,JAN,170894
IAD,SAN,170719
MSP,IND,170687
ORD,MSY,170201
CVG,MCO,170099
GSO,ATL,169909
CLT,GSO,169755
DAL,OKC,169615
ATL,ICT,169505
MCO,HOU,169462
ROC,ORD,169271
DFW,SMF,167906
BWI,CMH,167854
FAR,MSP,167694
HNL,ORD,167630
ICT,ATL,167469
SAN,MDW,167274
MHT,MCO,166925
PWM,JFK,166787
CLT,IND,166622
HSV,ATL,166593
DFW,LIT,166461
ORD,ROC,166401
PHX,IND,166169
IND,PHX,166158
HOU,LAS,166043
SMF,DFW,165875
JAN,ATL,165762
SAT,LAS,165683
CMH,CLT,165403
CVG,LAX,165252
JFK,PWM,165200
LAX,MCI,165079
HOU,MCO,165065
MKE,LGA,164575
MSP,FAR,164403
MDW,MHT,164097
LAS,PIT,164011
PIT,LAS,163750
ATL,GSO,163649
LAS,BOS,163573
LAS,SAT,163565
MCI,MCO,163530
MSY,ORD,163511
LGA,MKE,163254
MEM,MCO,163209
BOS,LAS,163074
BOS,CVG,162894
MCO,MEM,162699
MCO,MHT,162402
MCI,LAX,162085
SAT,ORD,161932
CVG,LGA,161925
ATL,LIT,161870
HOU,PHX,161834
MSP,OMA,161612
EWR,SAN,161425
IAH,OKC,160854
SAN,EWR,160772
MCO,MCI,160651
CLT,CMH,160589
TPA,DCA,160307
CVG,BOS,160259
SLC,GEG,160161
ORD,HNL,159835
LIT,ATL,159551
CMH,BWI,159407
HNL,IAH,159339
LAX,BNA,159325
PHL,JAX,159174
DCA,TPA,159036
PDX,HNL,158905
RDU,MCO,158839
PHL,BNA,158766
LAS,HOU,158631
HOU,LAX,158609
TPA,BNA,158606
JAX,PHL,158226
MKE,ORD,158158
ORD,MSN,158143
MCO,RDU,158115
MCO,MSY,157955
OKC,IAH,157336
LGA,PIT,157207
EWR,RDU,157130
SJC,ORD,156936
LAS,CMH,156832
BNA,TPA,156534
SEA,IAD,156355
OMA,MSP,156083
STL,CLT,156029
MHT,MDW,155739
SEA,RNO,155671
TYS,ATL,155668
ATL,HNL,155536
BNA,RDU,155472
SMF,IAH,155461
HNL,ATL,155444
TPA,MSP,155341
HNL,PDX,155315
CMH,LAS,155304
ORD,SJC,155279
LGA,CLE,155177
GEG,SLC,155077
IAH,HNL,155006
CID,ORD,154565
RDU,BNA,154458
CRP,HOU,154358
BDL,PHL,154092
SYR,ORD,153910
BNA,PHL,153698
OKC,DAL,153669
RDU,EWR,153607
ATL,BMI,153385
CLT,STL,153221
HOU,CRP,153184
ATL,HSV,153138
MSP,TPA,153109
PHX,DCA,152993
CMH,DFW,152885
RNO,SEA,152719
PIT,EWR,152403
EWR,PIT,152403
IAH,SMF,152395
DTW,MSN,152390
CLT,SAV,152374
MSP,ANC,152326
DFW,CMH,152302
ALB,ORD,152300
JAX,DFW,152074
RIC,ORD,151920
BMI,ATL,151690
TPA,IND,151656
PHL,CLE,151464
MSY,MCO,151083
BNA,LAX,150853
IAH,MCI,150830
PHX,HOU,150724
SAV,CLT,150544
DFW,JAX,150228
LAX,HOU,150211
CLE,LGA,150086
MSN,DTW,150043
LAX,CLE,149738
MCI,IAH,149359
ORD,MKE,149338
ORD,CID,149321
ANC,MSP,149124
ORD,RIC,149121
CLE,PHL,148805
ATL,TYS,148399
PIT,LGA,148282
SLC,SMF,148256
ORD,ALB,148155
CLE,LAX,148129
HNL,DFW,147887
IAH,TUL,147555
IND,TPA,146873
ORD,TUL,146741
ORD,SYR,146437
SMF,SLC,146370
TUL,IAH,146053
PHL,BDL,145984
CRP,IAH,145599
IAH,ABQ,145068
FLL,JAX,144788
JAX,FLL,144715
MDW,FLL,144709
ABQ,IAH,144100
DFW,HNL,144028
DTW,BDL,144005
DTW,RDU,143988
JFK,OAK,143819
DTW,MIA,143799
OAK,JFK,143590
MCO,LAS,143481
PDX,SAN,143021
RDU,DCA,142976
PVD,ORD,142712
ATL,ABQ,142614
TPA,LAS,142122
IAH,CRP,142064
BOS,RDU,142001
PHX,CLE,141981
LAS,TPA,141872
FLL,MDW,141749
DTW,BUF,141666
MKE,MCI,141550
TUL,ORD,141457
ABQ,ATL,141299
CLE,PHX,141239
RDU,BOS,141078
MIA,DTW,140844
IAD,SEA,140824
BUF,DTW,140651
LAS,CVG,140465
FLL,IAD,140249
RDU,DTW,140147
SAN,PDX,139880
BWI,PHL,139847
DCA,PHX,139364
MDW,SEA,139290
MSN,MSP,139239
MCI,MKE,139198
BDL,DTW,139004
CVG,LAS,138392
DTW,MCI,138023
CAE,ATL,137771
SMF,ORD,137742
PHX,MCO,137737
LBB,DFW,137733
LAS,MCO,137655
LGA,CMH,137459
GSP,ATL,137448
HOU,BNA,137446
ORD,PVD,137417
XNA,DFW,137268
DCA,RDU,137249
TPA,HOU,137176
PDX,SNA,137095
AUS,LAS,137028
FSD,MSP,136667
ORD,SMF,136570
GRR,MSP,136509
BNA,HOU,136271
SEA,MDW,136096
IAD,FLL,136031
SNA,PDX,136000
PIT,BOS,135722
BOS,PIT,135497
DFW,XNA,135216
PHX,PIT,134701
MCO,PHX,134687
LAS,AUS,134624
PHX,TPA,134505
DFW,RNO,134385
MSP,MSN,134324
MSP,FSD,134242
MCI,DTW,133860
BWI,MSP,133706
DTW,IAD,133626
CMH,LGA,133480
LGA,TPA,133382
PIT,PHX,133007
DFW,LBB,132970
CVG,DFW,132917
IAD,DTW,132549
TPA,LGA,132537
ATL,CAE,132101
BNA,LAS,131776
LGA,STL,131265
PIT,JFK,131067
MDW,PVD,130908
JFK,PIT,130779
JFK,DTW,130627
OKC,PHX,130483
RDU,IAH,130475
SLC,ABQ,130377
PVD,MDW,130354
HOU,TPA,130224
MSP,BWI,130188
PHL,IND,130121
LAS,FLL,130060
IAH,RDU,130012
SAT,LAX,129998
LAX,SAT,129913
HOU,BWI,129795
ACY,MCO,129647
BUF,MDW,129591
BTR,IAH,129584
STL,LGA,129463
RDU,IAD,129396
TPA,PHX,129263
MCO,ACY,129097
ATL,GSP,128786
JAX,BNA,128753
DFW,BHM,128614
RDU,MIA,128548
FLL,LAS,128269
PBI,BWI,127887
RNO,DFW,127709
BWI,MIA,127624
LAS,BNA,127528
BWI,PBI,127393
BHM,DFW,127299
MIA,RDU,127177
PHX,CMH,127163
JAN,HOU,126945
MSP,GRR,126940
IAH,BTR,126898
IAH,SJC,126897
FLL,ACY,126803
MIA,BWI,126183
IAH,ELP,126153
RNO,SLC,126120
MCI,BNA,125883
ABQ,SLC,125554
PHX,OKC,125398
DTW,JFK,125340
LAS,MIA,125298
HOU,JAN,125259
CMH,PHX,125240
PHL,CVG,125176
BDL,DFW,125098
IAD,RDU,125057
MDW,BUF,124935
TPA,BDL,124919
JFK,DCA,124831
SEA,BOS,124808
LGA,MEM,124630
BWI,HOU,124561
ELP,IAH,124363
MYR,LGA,124307
SJC,IAH,124246
BNA,MCI,124135
ACY,FLL,124093
PIT,DFW,124068
LGA,MYR,124040
CVG,PHL,123921
BOS,MKE,123797
MEM,LAX,123769
