orig_airport,dest_airport,orig_city,dest_city,total_passengers
GSO,GYY,"Greensboro, NC","Gary, IN",54
SNA,GYY,"Santa Ana, CA","Gary, IN",135
MDW,GYY,"Chicago, IL","Gary, IN",6
ACY,GYY,"Atlantic City, NJ","Gary, IN",428
IND,GYY,"Indianapolis, IN","Gary, IN",117
LBL,HYS,"Liberal, KS","Hays, KS",4
GBD,HYS,"Great Bend, KS","Hays, KS",590
DDC,HYS,"Dodge City, KS","Hays, KS",23
BRL,HYS,"Burlington, IA","Hays, KS",3
MHK,HYS,"Manhattan, KS","Hays, KS",8
MCI,HYS,"Kansas City, MO","Hays, KS",2441
GCK,HYS,"Garden City, KS","Hays, KS",22
OGG,ITO,"Kahului, HI","Hilo, HI",49682
OAK,ITO,"Oakland, CA","Hilo, HI",7898
HNL,ITO,"Honolulu, HI","Hilo, HI",602940
RST,APC,"Rochester, MN","Napa, CA",2
SUS,GUS,"St. Louis, MO","Peru, IN",14
PDX,RNO,"Portland, OR","Reno, NV",103608
SJC,RNO,"San Jose, CA","Reno, NV",118019
RFD,RNO,"Rockford, IL","Reno, NV",258
JFK,RNO,"New York, NY","Reno, NV",86
GRB,RNO,"Green Bay, WI","Reno, NV",130
CLE,RNO,"Cleveland, OH","Reno, NV",249
CMI,RNO,"Champaign, IL","Reno, NV",94
ANC,RNO,"Anchorage, AK","Reno, NV",91
BWI,RNO,"Baltimore, MD","Reno, NV",118
HNL,RNO,"Honolulu, HI","Reno, NV",485
SEA,RNO,"Seattle, WA","Reno, NV",155671
PHX,RNO,"Phoenix, AZ","Reno, NV",222973
ICT,RNO,"Wichita, KS","Reno, NV",517
PUW,RNO,"Pullman, WA","Reno, NV",113
GEG,RNO,"Spokane, WA","Reno, NV",6828
AZA,RNO,"Phoenix, AZ","Reno, NV",487
OAK,RNO,"Oakland, CA","Reno, NV",95230
IAH,RNO,"Houston, TX","Reno, NV",49654
MEM,RNO,"Memphis, TN","Reno, NV",276
MOD,RNO,"Modesto, CA","Reno, NV",13
LBB,RNO,"Lubbock, TX","Reno, NV",408
OGG,RNO,"Kahului, HI","Reno, NV",124
JAN,RNO,"Jackson, MS","Reno, NV",227
MSN,RNO,"Madison, WI","Reno, NV",91
LNK,RNO,"Lincoln, NE","Reno, NV",124
GRK,RNO,"Killeen, TX","Reno, NV",206
MOB,RNO,"Mobile, AL","Reno, NV",115
MLU,RNO,"Monroe, LA","Reno, NV",253
DFW,RNO,"Dallas, TX","Reno, NV",134385
DAL,RNO,"Dallas, TX","Reno, NV",256
FAT,RNO,"Fresno, CA","Reno, NV",626
DAY,RNO,"Dayton, OH","Reno, NV",70
BOS,RNO,"Boston, MA","Reno, NV",188
TUL,RNO,"Tulsa, OK","Reno, NV",461
AUS,RNO,"Austin, TX","Reno, NV",862
OMA,RNO,"Omaha, NE","Reno, NV",333
ACT,RNO,"Waco, TX","Reno, NV",122
EKO,RNO,"Elko, NV","Reno, NV",84
GYY,RNO,"Gary, IN","Reno, NV",121
RDM,RNO,"Bend, OR","Reno, NV",206
LGU,RNO,"Logan, UT","Reno, NV",113
TUS,RNO,"Tucson, AZ","Reno, NV",6326
CWA,RNO,"Wausau, WI","Reno, NV",267
PIA,RNO,"Peoria, IL","Reno, NV",127
TOL,RNO,"Toledo, OH","Reno, NV",91
FOE,RNO,"Topeka, KS","Reno, NV",119
SFO,RNO,"San Francisco, CA","Reno, NV",98044
SPS,RNO,"Wichita Falls, TX","Reno, NV",378
OKC,RNO,"Oklahoma City, OK","Reno, NV",512
LCH,RNO,"Lake Charles, LA","Reno, NV",213
IND,RNO,"Indianapolis, IN","Reno, NV",103
CRP,RNO,"Corpus Christi, TX","Reno, NV",268
SLC,RNO,"Salt Lake City, UT","Reno, NV",123072
COS,RNO,"Colorado Springs, CO","Reno, NV",128
SPI,RNO,"Springfield, IL","Reno, NV",384
LAX,RNO,"Los Angeles, CA","Reno, NV",186723
SAT,RNO,"San Antonio, TX","Reno, NV",516
SGF,RNO,"Springfield, MO","Reno, NV",261
MSY,RNO,"New Orleans, LA","Reno, NV",221
MSP,RNO,"Minneapolis, MN","Reno, NV",123
XNA,RNO,"Fayetteville, AR","Reno, NV",86
GRR,RNO,"Grand Rapids, MI","Reno, NV",136
SJT,RNO,"San Angelo, TX","Reno, NV",274
SMF,RNO,"Sacramento, CA","Reno, NV",1070
ABQ,RNO,"Albuquerque, NM","Reno, NV",596
LIT,RNO,"Little Rock, AR","Reno, NV",225
BFL,RNO,"Bakersfield, CA","Reno, NV",335
GCK,RNO,"Garden City, KS","Reno, NV",275
MCI,RNO,"Kansas City, MO","Reno, NV",314
BTR,RNO,"Baton Rouge, LA","Reno, NV",233
SHV,RNO,"Shreveport, LA","Reno, NV",684
CHA,RNO,"Chattanooga, TN","Reno, NV",107
MDW,RNO,"Chicago, IL","Reno, NV",42455
ORD,RNO,"Chicago, IL","Reno, NV",55080
ELP,RNO,"El Paso, TX","Reno, NV",216
ATL,RNO,"Atlanta, GA","Reno, NV",25680
ABI,RNO,"Abilene, TX","Reno, NV",252
FWA,RNO,"Fort Wayne, IN","Reno, NV",128
BLI,RNO,"Bellingham, WA","Reno, NV",15555
CVG,RNO,"Cincinnati, OH","Reno, NV",318
STL,RNO,"St. Louis, MO","Reno, NV",383
EVV,RNO,"Evansville, IN","Reno, NV",100
DSM,RNO,"Des Moines, IA","Reno, NV",273
BHM,RNO,"Birmingham, AL","Reno, NV",121
LRU,RNO,"Las Cruces, NM","Reno, NV",118
LAS,RNO,"Las Vegas, NV","Reno, NV",446252
BNA,RNO,"Nashville, TN","Reno, NV",214
MKE,RNO,"Milwaukee, WI","Reno, NV",239
SNA,RNO,"Santa Ana, CA","Reno, NV",6798
SAN,RNO,"San Diego, CA","Reno, NV",74711
SWO,ACT,"Stillwater, OK","Waco, TX",271
CHA,ACT,"Chattanooga, TN","Waco, TX",23
MCI,ACT,"Kansas City, MO","Waco, TX",74
ILG,ACT,"Wilmington, DE","Waco, TX",82
ABQ,ACT,"Albuquerque, NM","Waco, TX",82
BTR,ACT,"Baton Rouge, LA","Waco, TX",106
IAD,ACT,"Washington, DC","Waco, TX",131
SLC,ACT,"Salt Lake City, UT","Waco, TX",35
CLL,ACT,"College Station, TX","Waco, TX",28
OKC,ACT,"Oklahoma City, OK","Waco, TX",204
DSM,ACT,"Des Moines, IA","Waco, TX",151
GSO,ACT,"Greensboro, NC","Waco, TX",133
HSV,ACT,"Huntsville, AL","Waco, TX",39
BHM,ACT,"Birmingham, AL","Waco, TX",50
GSP,ACT,"Greenville, SC","Waco, TX",5
AEX,ACT,"Alexandria, LA","Waco, TX",29
STL,ACT,"St. Louis, MO","Waco, TX",33
CVG,ACT,"Cincinnati, OH","Waco, TX",34
MHK,ACT,"Manhattan, KS","Waco, TX",63
PNS,ACT,"Pensacola, FL","Waco, TX",43
LAS,ACT,"Las Vegas, NV","Waco, TX",104
ABI,ACT,"Abilene, TX","Waco, TX",24
HOU,ACT,"Houston, TX","Waco, TX",34
IAH,ACT,"Houston, TX","Waco, TX",17333
DMA,ACT,"Tucson, AZ","Waco, TX",30
FOE,ACT,"Topeka, KS","Waco, TX",35
DFW,ACT,"Dallas, TX","Waco, TX",45661
MLU,ACT,"Monroe, LA","Waco, TX",59
FTW,ACT,"Dallas, TX","Waco, TX",3
TYR,ACT,"Tyler, TX","Waco, TX",29
AUS,ACT,"Austin, TX","Waco, TX",135
RNO,ACT,"Reno, NV","Waco, TX",122
TUL,ACT,"Tulsa, OK","Waco, TX",100
COU,ACT,"Columbia, MO","Waco, TX",160
PUW,ACT,"Pullman, WA","Waco, TX",119
BDL,ACT,"Hartford, CT","Waco, TX",161
GPT,ACT,"Gulfport, MS","Waco, TX",37
LBB,ACT,"Lubbock, TX","Waco, TX",286
JAN,ACT,"Jackson, MS","Waco, TX",79
MCO,ACT,"Orlando, FL","Waco, TX",50
LNK,ACT,"Lincoln, NE","Waco, TX",160
SFB,ACT,"Orlando, FL","Waco, TX",172
MEM,ACT,"Memphis, TN","Waco, TX",50
LFT,ACT,"Lafayette, LA","Waco, TX",39
CLE,ACT,"Cleveland, OH","Waco, TX",98
SAV,ACT,"Savannah, GA","Waco, TX",43
BGR,THV,"Bangor, ME","York, PA",4
LAS,YUM,"Las Vegas, NV","Yuma, AZ",1539
SNA,YUM,"Santa Ana, CA","Yuma, AZ",53
FLG,YUM,"Flagstaff, AZ","Yuma, AZ",38
IPL,YUM,"El Centro, CA","Yuma, AZ",3110
PHX,YUM,"Phoenix, AZ","Yuma, AZ",49463
LAX,YUM,"Los Angeles, CA","Yuma, AZ",16132
BFL,YUM,"Bakersfield, CA","Yuma, AZ",18
OKC,YUM,"Oklahoma City, OK","Yuma, AZ",427
SBA,YUM,"Santa Barbara, CA","Yuma, AZ",21
SLC,YUM,"Salt Lake City, UT","Yuma, AZ",15290
SBP,YUM,"San Luis Obispo, CA","Yuma, AZ",56
FAT,YUM,"Fresno, CA","Yuma, AZ",69
DCA,CAK,"Washington, DC","Akron, OH",347
MCI,CAK,"Kansas City, MO","Akron, OH",69
MSP,CAK,"Minneapolis, MN","Akron, OH",128
XNA,CAK,"Fayetteville, AR","Akron, OH",44
TOL,CAK,"Toledo, OH","Akron, OH",45
BOS,CAK,"Boston, MA","Akron, OH",39732
DAY,CAK,"Dayton, OH","Akron, OH",34
TPA,CAK,"Tampa, FL","Akron, OH",36360
OMA,CAK,"Omaha, NE","Akron, OH",85
ATL,CAK,"Atlanta, GA","Akron, OH",259151
DTW,CAK,"Detroit, MI","Akron, OH",45917
ORD,CAK,"Chicago, IL","Akron, OH",37025
MDW,CAK,"Chicago, IL","Akron, OH",169
CLT,CAK,"Charlotte, NC","Akron, OH",71162
AVL,CAK,"Asheville, NC","Akron, OH",36
LGA,CAK,"New York, NY","Akron, OH",66047
RFD,CAK,"Rockford, IL","Akron, OH",121
AVP,CAK,"Scranton, PA","Akron, OH",47
SYR,CAK,"Syracuse, NY","Akron, OH",172
LAS,CAK,"Las Vegas, NV","Akron, OH",4045
PIT,CAK,"Pittsburgh, PA","Akron, OH",34
PVD,CAK,"Providence, RI","Akron, OH",45
CVG,CAK,"Cincinnati, OH","Akron, OH",13290
MHT,CAK,"Manchester, NH","Akron, OH",84
FLL,CAK,"Fort Lauderdale, FL","Akron, OH",606
PHL,CAK,"Philadelphia, PA","Akron, OH",15922
ACY,CAK,"Atlantic City, NJ","Akron, OH",2009
MCO,CAK,"Orlando, FL","Akron, OH",37517
CMH,CAK,"Columbus, OH","Akron, OH",44
BDL,CAK,"Hartford, CT","Akron, OH",47
GPT,CAK,"Gulfport, MS","Akron, OH",114
PHX,CAK,"Phoenix, AZ","Akron, OH",1
SEA,BTM,"Seattle, WA","Butte, MT",12647
MSO,BTM,"Missoula, MT","Butte, MT",50
BZN,BTM,"Bozeman, MT","Butte, MT",2453
HLN,BTM,"Helena, MT","Butte, MT",31
EUG,BTM,"Eugene, OR","Butte, MT",42
FAR,BTM,"Fargo, ND","Butte, MT",51
SLC,BTM,"Salt Lake City, UT","Butte, MT",21212
IDA,BTM,"Idaho Falls, ID","Butte, MT",39
SFO,CIC,"San Francisco, CA","Chico, CA",24965
CAE,DOV,"Columbia, SC","Dover, DE",130
AVP,DOV,"Scranton, PA","Dover, DE",34
CLT,DOV,"Charlotte, NC","Dover, DE",99
PHL,FAR,"Philadelphia, PA","Fargo, ND",189
SLC,FAR,"Salt Lake City, UT","Fargo, ND",2677
COS,FAR,"Colorado Springs, CO","Fargo, ND",414
FCA,FAR,"Kalispell, MT","Fargo, ND",31
SJC,FAR,"San Jose, CA","Fargo, ND",114
ALO,FAR,"Waterloo, IA","Fargo, ND",110
ANC,FAR,"Anchorage, AK","Fargo, ND",179
BWI,FAR,"Baltimore, MD","Fargo, ND",72
CID,FAR,"Cedar Rapids, IA","Fargo, ND",34
HUF,FAR,"Terre Haute, IN","Fargo, ND",87
YNG,FAR,"Youngstown, OH","Fargo, ND",109
BMI,FAR,"Bloomington, IL","Fargo, ND",109
IAD,FAR,"Washington, DC","Fargo, ND",148
GFK,FAR,"Grand Forks, ND","Fargo, ND",74
MSP,FAR,"Minneapolis, MN","Fargo, ND",164403
FSD,FAR,"Sioux Falls, SD","Fargo, ND",56
SGF,FAR,"Springfield, MO","Fargo, ND",108
HLN,FAR,"Helena, MT","Fargo, ND",42
MWA,FAR,"Marion, IL","Fargo, ND",126
MOT,FAR,"Minot, ND","Fargo, ND",224
ATL,FAR,"Atlanta, GA","Fargo, ND",295
ORD,FAR,"Chicago, IL","Fargo, ND",43793
DTW,FAR,"Detroit, MI","Fargo, ND",113
RAP,FAR,"Rapid City, SD","Fargo, ND",47
LAS,FAR,"Las Vegas, NV","Fargo, ND",20212
MKE,FAR,"Milwaukee, WI","Fargo, ND",47
BNA,FAR,"Nashville, TN","Fargo, ND",111
SAN,FAR,"San Diego, CA","Fargo, ND",144
SNA,FAR,"Santa Ana, CA","Fargo, ND",209
STL,FAR,"St. Louis, MO","Fargo, ND",46
PHX,FAR,"Phoenix, AZ","Fargo, ND",148
BIL,FAR,"Billings, MT","Fargo, ND",100
AZA,FAR,"Phoenix, AZ","Fargo, ND",17371
BIS,FAR,"Bismarck, ND","Fargo, ND",59
LBB,FAR,"Lubbock, TX","Fargo, ND",50
LAR,FAR,"Laramie, WY","Fargo, ND",115
SFB,FAR,"Orlando, FL","Fargo, ND",1449
MCO,FAR,"Orlando, FL","Fargo, ND",148
IAH,FAR,"Houston, TX","Fargo, ND",114
MSN,FAR,"Madison, WI","Fargo, ND",147
BDL,FAR,"Hartford, CT","Fargo, ND",106
MSP,FNT,"Minneapolis, MN","Flint, MI",14518
GRR,FNT,"Grand Rapids, MI","Flint, MI",68
CLE,FNT,"Cleveland, OH","Flint, MI",18724
BWI,FNT,"Baltimore, MD","Flint, MI",42
LGA,FNT,"New York, NY","Flint, MI",6539
SYR,FNT,"Syracuse, NY","Flint, MI",36
GRB,FNT,"Green Bay, WI","Flint, MI",50
TYS,FNT,"Knoxville, TN","Flint, MI",26
ATL,FNT,"Atlanta, GA","Flint, MI",208300
DTW,FNT,"Detroit, MI","Flint, MI",103542
ORD,FNT,"Chicago, IL","Flint, MI",44218
MDW,FNT,"Chicago, IL","Flint, MI",51
DFW,FNT,"Dallas, TX","Flint, MI",9059
BOS,FNT,"Boston, MA","Flint, MI",114
CWA,FNT,"Wausau, WI","Flint, MI",20
APN,FNT,"Alpena, MI","Flint, MI",20
TPA,FNT,"Tampa, FL","Flint, MI",19973
ALB,FNT,"Albany, NY","Flint, MI",45
OMA,FNT,"Omaha, NE","Flint, MI",49
MCO,FNT,"Orlando, FL","Flint, MI",43074
MKG,FNT,"Muskegon, MI","Flint, MI",1930
BDL,FNT,"Hartford, CT","Flint, MI",75
CMH,FNT,"Columbus, OH","Flint, MI",18
PVD,FNT,"Providence, RI","Flint, MI",64
MDT,FNT,"Harrisburg, PA","Flint, MI",36
CVG,FNT,"Cincinnati, OH","Flint, MI",37
BHM,FNT,"Birmingham, AL","Flint, MI",43
MKE,FNT,"Milwaukee, WI","Flint, MI",24097
LAS,FNT,"Las Vegas, NV","Flint, MI",10361
MQT,FNT,"Marquette, MI","Flint, MI",14
ABQ,HOB,"Albuquerque, NM","Hobbs, NM",830
MAF,HOB,"Midland, TX","Hobbs, NM",197
CNM,HOB,"Carlsbad, NM","Hobbs, NM",688
RUI,HOB,"Ruidoso, NM","Hobbs, NM",386
PIR,HON,"Pierre, SD","Huron, SD",2359
PHX,LGU,"Phoenix, AZ","Logan, UT",106
SJC,LGU,"San Jose, CA","Logan, UT",114
LAS,LGU,"Las Vegas, NV","Logan, UT",120
RNO,LGU,"Reno, NV","Logan, UT",113
FAT,LGU,"Fresno, CA","Logan, UT",114
MLU,LGU,"Monroe, LA","Logan, UT",107
EUG,LGU,"Eugene, OR","Logan, UT",126
ATL,MCN,"Atlanta, GA","Macon, GA",9598
GNV,MCN,"Gainesville, FL","Macon, GA",74
ILM,MCN,"Wilmington, NC","Macon, GA",31
PVD,MCN,"Providence, RI","Macon, GA",37
RDU,MCN,"Raleigh, NC","Macon, GA",42
CAE,MCN,"Columbia, SC","Macon, GA",55
JAN,MCN,"Jackson, MS","Macon, GA",45
GPT,MCN,"Gulfport, MS","Macon, GA",43
AHN,MCN,"Athens, GA","Macon, GA",13
ALB,MCN,"Albany, NY","Macon, GA",69
MIA,MCN,"Miami, FL","Macon, GA",130
OKC,MCN,"Oklahoma City, OK","Macon, GA",38
PWM,MCN,"Portland, ME","Macon, GA",56
PNS,MIA,"Pensacola, FL","Miami, FL",146
BNA,MIA,"Nashville, TN","Miami, FL",64631
MKE,MIA,"Milwaukee, WI","Miami, FL",121
LAS,MIA,"Las Vegas, NV","Miami, FL",125298
LAS,OPF,"Las Vegas, NV","Miami, FL",7
PIT,MIA,"Pittsburgh, PA","Miami, FL",16172
CVG,MIA,"Cincinnati, OH","Miami, FL",50429
GSO,MIA,"Greensboro, NC","Miami, FL",15417
STL,MIA,"St. Louis, MO","Miami, FL",102038
CHS,MIA,"Charleston, SC","Miami, FL",155
AEX,MIA,"Alexandria, LA","Miami, FL",486
FWA,MIA,"Fort Wayne, IN","Miami, FL",149
MHT,MIA,"Manchester, NH","Miami, FL",119
GSP,MIA,"Greenville, SC","Miami, FL",29
TPA,MIA,"Tampa, FL","Miami, FL",217580
TUL,MIA,"Tulsa, OK","Miami, FL",210
BGR,MIA,"Bangor, ME","Miami, FL",265
OMA,MIA,"Omaha, NE","Miami, FL",41
DFW,MIA,"Dallas, TX","Miami, FL",482026
BOS,MIA,"Boston, MA","Miami, FL",344737
MLU,MIA,"Monroe, LA","Miami, FL",154
DAL,MIA,"Dallas, TX","Miami, FL",55
LRD,MIA,"Laredo, TX","Miami, FL",74
EWR,MIA,"Newark, NJ","Miami, FL",378489
TCM,MIA,"Tacoma, WA","Miami, FL",77
MCO,MIA,"Orlando, FL","Miami, FL",416649
IAH,MIA,"Houston, TX","Miami, FL",267846
MEM,MIA,"Memphis, TN","Miami, FL",53394
HOU,MIA,"Houston, TX","Miami, FL",30
EAR,MIA,"Kearney, NE","Miami, FL",1
OAK,MIA,"Oakland, CA","Miami, FL",70
ORL,MIA,"Orlando, FL","Miami, FL",7
EYW,MIA,"Key West, FL","Miami, FL",80942
CMH,MIA,"Columbus, OH","Miami, FL",16842
BDL,MIA,"Hartford, CT","Miami, FL",40975
SEA,MIA,"Seattle, WA","Miami, FL",50300
RDU,MIA,"Raleigh, NC","Miami, FL",128548
AND,MIA,"Anderson, SC","Miami, FL",35
PHX,MIA,"Phoenix, AZ","Miami, FL",42609
ROA,MIA,"Roanoke, VA","Miami, FL",302
JAX,MIA,"Jacksonville, FL","Miami, FL",76318
PHL,MIA,"Philadelphia, PA","Miami, FL",274572
SFO,MIA,"San Francisco, CA","Miami, FL",194541
IND,MIA,"Indianapolis, IN","Miami, FL",16882
OKC,MIA,"Oklahoma City, OK","Miami, FL",107
BWG,MIA,"Bowling Green, KY","Miami, FL",139
FLL,MIA,"Fort Lauderdale, FL","Miami, FL",4862
PBI,MIA,"West Palm Beach, FL","Miami, FL",4182
COS,MIA,"Colorado Springs, CO","Miami, FL",168
CHO,MIA,"Charlottesville, VA","Miami, FL",225
SLC,MIA,"Salt Lake City, UT","Miami, FL",40
CLL,MIA,"College Station, TX","Miami, FL",162
CLE,MIA,"Cleveland, OH","Miami, FL",23286
BWI,MIA,"Baltimore, MD","Miami, FL",127624
CLT,MIA,"Charlotte, NC","Miami, FL",312575
MTN,MIA,"Baltimore, MD","Miami, FL",2
BKL,MIA,"Cleveland, OH","Miami, FL",78
CLT,OPF,"Charlotte, NC","Miami, FL",11
LSE,MIA,"La Crosse, WI","Miami, FL",135
JFK,MIA,"New York, NY","Miami, FL",477116
LGA,MIA,"New York, NY","Miami, FL",527763
RIC,MIA,"Richmond, VA","Miami, FL",14922
SAV,MIA,"Savannah, GA","Miami, FL",12853
SAT,MIA,"San Antonio, TX","Miami, FL",310
MSP,MIA,"Minneapolis, MN","Miami, FL",116244
MSY,MIA,"New Orleans, LA","Miami, FL",107089
LAX,MIA,"Los Angeles, CA","Miami, FL",426569
IAD,MIA,"Washington, DC","Miami, FL",103500
LIT,MIA,"Little Rock, AR","Miami, FL",101
MCI,MIA,"Kansas City, MO","Miami, FL",5123
DCA,MIA,"Washington, DC","Miami, FL",377577
GNV,MIA,"Gainesville, FL","Miami, FL",2384
ABQ,MIA,"Albuquerque, NM","Miami, FL",72
SMF,MIA,"Sacramento, CA","Miami, FL",34
TCL,MIA,"Tuscaloosa, AL","Miami, FL",54
TLH,MIA,"Tallahassee, FL","Miami, FL",29208
GRR,MIA,"Grand Rapids, MI","Miami, FL",157
FAY,MIA,"Fayetteville, NC","Miami, FL",89
XNA,MIA,"Fayetteville, AR","Miami, FL",3301
POB,MIA,"Fayetteville, NC","Miami, FL",4
ATL,MIA,"Atlanta, GA","Miami, FL",767114
PDK,OPF,"Atlanta, GA","Miami, FL",10
DTW,MIA,"Detroit, MI","Miami, FL",143799
ORD,MIA,"Chicago, IL","Miami, FL",592290
ELP,MIA,"El Paso, TX","Miami, FL",147
MDW,MIA,"Chicago, IL","Miami, FL",13716
FAR,MOT,"Fargo, ND","Minot, ND",93
SLC,MOT,"Salt Lake City, UT","Minot, ND",138
MSP,MOT,"Minneapolis, MN","Minot, ND",70825
BIS,MOT,"Bismarck, ND","Minot, ND",165
BIL,MOT,"Billings, MT","Minot, ND",100
BUF,OCF,"Buffalo, NY","Ocala, FL",45
TUP,OCF,"Tupelo, MS","Ocala, FL",135
GPT,OCF,"Gulfport, MS","Ocala, FL",96
PHL,OCF,"Philadelphia, PA","Ocala, FL",43
OAK,OGD,"Oakland, CA","Ogden, UT",97
SJC,OGD,"San Jose, CA","Ogden, UT",46
RFD,HIF,"Rockford, IL","Ogden, UT",125
FAT,OGD,"Fresno, CA","Ogden, UT",48
RNO,OGD,"Reno, NV","Ogden, UT",67
BGR,HIF,"Bangor, ME","Ogden, UT",90
LRU,OGD,"Las Cruces, NM","Ogden, UT",28
CLE,OMA,"Cleveland, OH","Omaha, NE",17709
CLT,OMA,"Charlotte, NC","Omaha, NE",109
BWI,OMA,"Baltimore, MD","Omaha, NE",561
TYS,OMA,"Knoxville, TN","Omaha, NE",44
PDX,OMA,"Portland, OR","Omaha, NE",254
ALO,OMA,"Waterloo, IA","Omaha, NE",29
LGA,OMA,"New York, NY","Omaha, NE",21
SJC,OMA,"San Jose, CA","Omaha, NE",103
MSP,OMA,"Minneapolis, MN","Omaha, NE",161612
FSD,OMA,"Sioux Falls, SD","Omaha, NE",188
LAX,OMA,"Los Angeles, CA","Omaha, NE",1068
SAT,OMA,"San Antonio, TX","Omaha, NE",221
MSY,OMA,"New Orleans, LA","Omaha, NE",57
GRI,OMA,"Grand Island, NE","Omaha, NE",1436
IND,OMA,"Indianapolis, IN","Omaha, NE",260
TLH,OMA,"Tallahassee, FL","Omaha, NE",62
SUX,OMA,"Sioux City, IA","Omaha, NE",249
MCI,OMA,"Kansas City, MO","Omaha, NE",3316
DCA,OMA,"Washington, DC","Omaha, NE",40035
IAD,OMA,"Washington, DC","Omaha, NE",1436
ABQ,OMA,"Albuquerque, NM","Omaha, NE",104
SMF,OMA,"Sacramento, CA","Omaha, NE",2
BTR,OMA,"Baton Rouge, LA","Omaha, NE",51
PHL,OMA,"Philadelphia, PA","Omaha, NE",494
SFO,OMA,"San Francisco, CA","Omaha, NE",202
ACY,OMA,"Atlantic City, NJ","Omaha, NE",116
SLC,OMA,"Salt Lake City, UT","Omaha, NE",26659
DFW,OMA,"Dallas, TX","Omaha, NE",181933
DAL,OMA,"Dallas, TX","Omaha, NE",392
MWA,OMA,"Marion, IL","Omaha, NE",37
MIA,OMA,"Miami, FL","Omaha, NE",39
TUL,OMA,"Tulsa, OK","Omaha, NE",195
TPA,OMA,"Tampa, FL","Omaha, NE",25
CAK,OMA,"Akron, OH","Omaha, NE",56
AUS,OMA,"Austin, TX","Omaha, NE",74
RNO,OMA,"Reno, NV","Omaha, NE",248
ALB,OMA,"Albany, NY","Omaha, NE",52
ACT,OMA,"Waco, TX","Omaha, NE",165
EWR,OMA,"Newark, NJ","Omaha, NE",37260
TUS,OMA,"Tucson, AZ","Omaha, NE",6837
CWA,OMA,"Wausau, WI","Omaha, NE",100
PIA,OMA,"Peoria, IL","Omaha, NE",45
MKE,OMA,"Milwaukee, WI","Omaha, NE",55637
SAN,OMA,"San Diego, CA","Omaha, NE",12594
LAS,OMA,"Las Vegas, NV","Omaha, NE",114197
BNA,OMA,"Nashville, TN","Omaha, NE",113
SNA,OMA,"Santa Ana, CA","Omaha, NE",261
STL,OMA,"St. Louis, MO","Omaha, NE",106017
DSM,OMA,"Des Moines, IA","Omaha, NE",569
CVG,OMA,"Cincinnati, OH","Omaha, NE",40720
AEX,OMA,"Alexandria, LA","Omaha, NE",55
LUK,OMA,"Cincinnati, OH","Omaha, NE",45
MDT,OMA,"Harrisburg, PA","Omaha, NE",80
LRU,OMA,"Las Cruces, NM","Omaha, NE",100
IAH,OMA,"Houston, TX","Omaha, NE",106503
ORD,OMA,"Chicago, IL","Omaha, NE",270291
DTW,OMA,"Detroit, MI","Omaha, NE",63551
MDW,OMA,"Chicago, IL","Omaha, NE",195792
ELP,OMA,"El Paso, TX","Omaha, NE",50
ATL,OMA,"Atlanta, GA","Omaha, NE",78223
