l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
37495,36634,25811,400000,3,,,,,,1871.78952867511,,,,,"","SRID=4326;LINESTRING(26.1559820017236 44.4026718237121,26.1824820544015 44.3949235768576)"
80091,39830,5733,132000,6,,50,,,,7244.43579237663,,,,,"","SRID=4326;LINESTRING(-2.08335459805291 53.0408366498615,-2.04384979787662 52.9800554656456)"
12171,2777,21420,110000,3;6;3,,,,E.ON,5585,3067.01449087997,,,,,"","SRID=4326;LINESTRING(16.118891675349 49.1037540067666,16.148916736784 49.0868848104283)"
9890,24142,21561,220000,3,,,220kV Koksochemia - Łośnice; Siersza - Łośnice,,,1410.6531423135,,,,,"","SRID=4326;LINESTRING(19.470730548212 50.4838250007758,19.4609594649998 50.4965097780685)"
47892,26347,61071,300000,,,,,,,15.740360190736,,,,,"","SRID=4326;LINESTRING(8.03444647138148 59.4480275829308,8.03474075946856 59.4480403686071)"
6436,12188,63271,110000,6,1,,110 kV,,,8165.76836642239,,,,,"","SRID=4326;LINESTRING(8.56022102849261 49.9921118028047,8.50868074457306 50.0333711432323)"
19623,23529,23242,220000,3,,,Arezzo-Pietrafitta 220,,22.268,53096.6922020806,,,,,"","SRID=4326;LINESTRING(11.7450207567694 43.3335427876587,12.1852240819086 42.9817482698185)"
41799,26375,60253,,,,,,,,602.757320774983,,,,,"","SRID=4326;LINESTRING(10.129922549629 62.7030799840201,10.1410942679969 62.704815888006)"
16083,7346,63660,400000,3,2,50,Toponár - Paks,,,86928.271633162,,,,,"","SRID=4326;LINESTRING(17.836384170067 46.4145412750447,18.8052143886243 46.5822414754799)"
37369,64678,59671,220000,,,,220kV Joachimów - Huta Częstochowa,,,4251.46289792675,,,,,"","SRID=4326;LINESTRING(19.2515288628098 50.7606598988513,19.1918769550201 50.7596670035592)"
6820,21801,63314,220000,3,,,Salerno Nord-Montecorvino,,22.244,1009.970159103,,,,,"","SRID=4326;LINESTRING(14.7777886676329 40.7096336130521,14.7673588701113 40.7148181232449)"
12648,28334,55168,380000;220000,12,4;2,,,RWE,4574,2458.98556898596,,,,,"","SRID=4326;LINESTRING(6.65963412801378 51.5995478716066,6.68224655213283 51.5774856572905)"
18324,56778,63920,225000,,,,,RTE,,78628.8520467679,,,,,"","SRID=4326;LINESTRING(1.38639782575547 43.5239726933945,1.59905088256796 42.8601860937955)"
9204,55435,54845,380000,3,,,Yatağan TES TM - Yeniköy TES TM EİH,,,40600.286676184,,,,,"","SRID=4326;LINESTRING(27.8783241792571 37.1379603506014,28.0995839920281 37.3288583476966)"
14570,6071,56384,400000,3,,50,400kV Ołtarzew - Mościska,PSE Operator,,509.177815602471,,,,,"","SRID=4326;LINESTRING(20.8813059369033 52.2906316504924,20.8707974986568 52.2902118990816)"
40203,36803,32185,220000,1;6,2,50,,,,251.714134880247,,,,,"","SRID=4326;LINESTRING(9.09267752676315 47.559810336732,9.09337226380096 47.5562224188639)"
41737,32403,32406,,,,,,,,12086.546533992,,,,,"","SRID=4326;LINESTRING(10.5028459227434 62.381119290288,10.3961173533317 62.4742604036517)"
73232,50978,37146,220000,6;3;3;3;3;6;6,,,,,,1797.32224583216,,,,,"","SRID=4326;LINESTRING(37.8716168962849 55.7223789500874,37.8851880080398 55.7083366663807)"
21195,23455,57339,330000,1,,50,,,,74.6240868220414,,,,,"","SRID=4326;LINESTRING(37.1042916255379 47.9881074120645,37.1032829971369 47.9880166865583)"
49326,34968,67329,,,,,,,,5895.99067727999,,,,,"","SRID=4326;LINESTRING(13.6932338545345 50.4339948727441,13.6893391187887 50.4784158072867)"
63216,32898,45847,225000,3,,,,RTE,,3773.83235901921,,,,,"","SRID=4326;LINESTRING(2.62179900321315 48.9599339145566,2.57559960916253 48.9761385998005)"
6007,21815,29244,,,,,,,,768.19315963865,,,,,"","SRID=4326;LINESTRING(12.4678885054479 41.9686522324696,12.4688373845027 41.9681383386459)"
65683,14655,13547,330000,3,2,,,,,92515.8170868159,,,,,"","SRID=4326;LINESTRING(34.806497504716 50.9671496135781,33.7695210955653 50.6903713876309)"
8841,22947,54442,,,,,,,,2512.49606169453,,,,,"","SRID=4326;LINESTRING(17.0562337868215 39.1205634824676,17.0347872208803 39.10278796518)"
80674,56406,6103,220000,3,,50,,,,29294.803497783,,,,,"","SRID=4326;LINESTRING(5.54382009477616 50.2104585143912,5.66297177449568 49.9756976131534)"
75638,31522,37776,,,,,,,,162.196780421815,,,,,"","SRID=4326;LINESTRING(12.8096815736258 45.8549519000845,12.8114712447174 45.853710987606)"
40123,31860,32177,380000;110000;380000;110000;15000,10;12,4;1,50;16.7,380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim;380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim; 15 kV Sl; Sl,TenneT,,4066.77335576491,,,,,"","SRID=4326;LINESTRING(8.60299371813033 50.10949601252,8.59447355698657 50.1431793804418)"
79124,28515,5193,420000;300000;420000;420000;420000;300000,3,,50,,,,32581.6169600776,,,,,"","SRID=4326;LINESTRING(10.7435672113495 59.5162516799877,11.1554910961667 59.314393669753)"
41668,32400,32399,220000,,,,,,,6300.07550836369,,,,,"","SRID=4326;LINESTRING(24.4116033107493 41.9526206015733,24.4117085933006 41.9523149564437)"
2672,39749,28808,220000,6,3,,,,22.243;22.270,19416.8938714691,,,,,"","SRID=4326;LINESTRING(14.9831526802162 40.6447169777862,14.7751141057334 40.7088916607296)"
14676,46997,63492,220000,6,,,,,,3901.47822702063,,,,,"","SRID=4326;LINESTRING(5.52164653616452 50.6147741731168,5.5358750350773 50.5821842825139)"
39741,32134,59981,380000;110000,12,4;1,50,380 kV Paffendorf Süd; Selfkant weiß; 110 kV Auenheim Nord; Glesch Nord,RWE,4179,3298.17973327729,,,,,"","SRID=4326;LINESTRING(6.62173582314428 50.9635756824282,6.66352365353096 50.9763307843942)"
80593,2415,40114,400000,6,2,,National Grid Northfleet East-Singlewell,National Grid,,5770.90106748591,,,,,"","SRID=4326;LINESTRING(0.329816177066072 51.4283433494619,0.392936778664682 51.4048472809452)"
69513,32184,36803,220000,1;6,2,50,,NOK,,266.954285501086,,,,,"","SRID=4326;LINESTRING(9.09314112727835 47.5561893179956,9.09267752676315 47.559810336732)"
75599,25618,37744,,,,,,,,460.043891835476,,,,,"","SRID=4326;LINESTRING(12.6718731818457 45.805223183978,12.6665305911333 45.8033418670264)"
4566,64388,55978,380000,6,4,,,RWE,,17489.7721169328,,,,,"","SRID=4326;LINESTRING(7.90643510608999 50.3527009690134,7.66954102500805 50.3857529166338)"
1958,34127,62641,,,,,,,,3612.01353284716,,,,,"","SRID=4326;LINESTRING(13.1056542713556 47.7609674873173,13.1333506128083 47.7566819838044)"
4345,21312,63007,225000,3,,,,RTE,,575.768906626923,,,,,"","SRID=4326;LINESTRING(4.17739080012778 44.137832316601,4.18410642880799 44.1334028778759)"
51198,23506,33544,220000,3,2,,,RWE,Anlage 323,946.862204753188,,,,,"","SRID=4326;LINESTRING(9.13889142638328 49.1458215007688,9.14718422392863 49.1480846105852)"
5287,11712,56043,,,,,,,,3733.82512769027,,,,,"","SRID=4326;LINESTRING(17.64516685352 60.5257356434774,17.579822602219 60.5326333535551)"
49110,23206,27307,132000,3,,,,,,8517.1812469836,,,,,"","SRID=4326;LINESTRING(12.1184495220626 45.5509816137179,12.0970029633065 45.4761406740947)"
71779,29297,16954,220000,3;6,,,ВЛ 220 кВ Луганская ТЭС - Сысоево.,,,127984.126210937,,,,,"","SRID=4326;LINESTRING(39.2678104816005 48.7484878725245,40.06990952225 49.3980494036587)"
12787,20702,54955,380000,3,4,50,380-kV Kernkraftwerk Emsland,RWE AG,,225.178293485035,,,,,"","SRID=4326;LINESTRING(7.32071021014467 52.4713640731429,7.30534459801476 52.4800010371722)"
17975,22966,22967,220000;110000,6,,,,,,215.010445916803,,,,,"","SRID=4326;LINESTRING(22.5729923133266 63.4463726038678,22.5705721621197 63.4447670074503)"
48523,8550,27222,380000,,,,,,,3.32013310480416,,,,,"","SRID=4326;LINESTRING(10.694485713783 43.0518602354964,10.695709992162 43.0532711669631)"
15515,38682,56509,225000,3,,,,,,4915.85544807466,,,,,"","SRID=4326;LINESTRING(-1.6099005398947 47.1870534464496,-1.66406447496249 47.194690203725)"
65326,13336,47252,,,,,,,,1798.60616191395,,,,,"","SRID=4326;LINESTRING(23.8620868899844 46.5488893038552,23.8732435408444 46.5341095127649)"
79789,55244,5582,90000,,,,,RTE,,1951.18942028858,,,,,"","SRID=4326;LINESTRING(3.31499190130286 50.2985010670434,3.29073155740592 50.2964885909087)"
3571,28924,62887,,3,1,,Самоков - Казичене,,,1145.83497482061,,,,,"","SRID=4326;LINESTRING(23.5386193958494 42.3397056396574,23.540568038557 42.350261161062)"
4956,63103,29142,,,,,,,,1615.57401135782,,,,,"","SRID=4326;LINESTRING(3.21916363664303 45.5921907279533,3.20510645748174 45.6030845822301)"
54519,9246,28054,250000,,,0,Moyle Interconnector,Mutual Energy,,4848.72506174601,,,,,"","SRID=4326;LINESTRING(-4.98076960124363 55.0696897884633,-5.04467363260642 55.0583980875947)"
59755,29317,9607,220000,3,1,,,,,45294.2807230418,,,,,"","SRID=4326;LINESTRING(33.2865440752145 60.5570365938814,32.8274958915593 60.2330177571532)"
36825,39329,31778,,,,,,,,2319.47099748879,,,,,"","SRID=4326;LINESTRING(13.1095209161302 46.2390682011251,13.1410180694825 46.2357184706096)"
55052,4504,68038,400000,3,,,,RTE,,1829.61567640612,,,,,"","SRID=4326;LINESTRING(2.24979674996035 49.9395024702885,2.23549441545808 49.9265387907411)"
34392,33915,31451,220000,1;3,1,,,,,2351.11952979088,,,,,"","SRID=4326;LINESTRING(10.027258856878 46.0486969643966,10.0512784601024 46.0609331950734)"
32929,46787,25281,,,,,,,,16852.2384712713,,,,,"","SRID=4326;LINESTRING(27.480656943377 47.1779503679714,27.2781272925431 47.2304763837395)"
68326,15955,15103,,,,,,,,7776.79151336459,,,,,"","SRID=4326;LINESTRING(23.1928355858575 46.3639301631966,23.281574516802 46.3782732061827)"
44130,54918,60593,400000,3;6;3,,,,Red Eléctrica de España,,17445.4951082181,,,,,"","SRID=4326;LINESTRING(-3.4432025717727 40.2559850887884,-3.60005554412952 40.1969957109312)"
63190,15593,11859,400000,3,2,50,,,,43093.5306692407,,,,,"","SRID=4326;LINESTRING(12.2172884090817 58.2939686898707,12.2637134927457 57.9156807161049)"
21561,33810,64061,220000;132000,,,50,,,,161.967666623394,,,,,"","SRID=4326;LINESTRING(-8.58637335823814 42.1891276162896,-8.5845103421704 42.1896232796535)"
6078,45479,56155,220000,6,,,,Red Eléctrica de España,,15072.7578533329,,,,,"","SRID=4326;LINESTRING(-6.30101554213644 36.670634027794,-6.14269051432274 36.6246423114672)"
40269,36634,32195,400000,6,,,,,,7361.04725969504,,,,,"","SRID=4326;LINESTRING(26.1559820017236 44.4026718237121,26.2491829523942 44.40071687559)"
2881,40671,28835,220000,3,,,Шипка,,,922.119562274011,,,,,"","SRID=4326;LINESTRING(24.3183869872543 42.1510103709662,24.3301356591595 42.1557739275689)"
27821,53709,24545,220000,6,,,,,,4637.97597449399,,,,,"","SRID=4326;LINESTRING(1.39549588681305 42.3238879181004,1.34468491486349 42.3188959058286)"
25296,23650,57967,400000,6,,,,Red Eléctrica de España,,2511.3425306952,,,,,"","SRID=4326;LINESTRING(-3.96021053328999 40.629245207649,-3.98257085835312 40.6145815951401)"
21450,29972,30270,440000,,2,,,,,4183.22900535963,,,,,"","SRID=4326;LINESTRING(27.6937870271527 62.9869395847936,27.6925902915312 62.9858545869928)"
25673,13771,24145,220000,3,,,220kV Łagisza/Joachimów - Wrzosowa,,,5616.83741019392,,,,,"","SRID=4326;LINESTRING(19.1665406179959 50.7539553575433,19.2454974841607 50.7439979716747)"
55484,28236,40968,220000,3,,,Borgo Valsugana-Lavis;Borgo Valsugana-Vellai,,22.290,90.7544172859385,,,,,"","SRID=4326;LINESTRING(11.4368528002369 46.0569715118449,11.439426388371 46.0556837740758)"
62163,8981,11109,400000,3;1;1;1;3,2,,Черно море,,,89896.3198125329,,,,,"","SRID=4326;LINESTRING(27.506949992732 43.3146759188856,27.356574246573 42.6168050583864)"
52170,60030,61659,220000,6,3,,220kV Polsum Süd+Scholven D,RWE,2646,3484.18910581411,,,,,"","SRID=4326;LINESTRING(7.0522095852727 51.6554570927607,7.06262644930735 51.6844079656584)"
78702,4830,4926,500000,3,3,50,ВЛ 500 кВ Белозерская – Череповецкая,ФСК ЕЭС,,29298.0652428295,,,,,"","SRID=4326;LINESTRING(37.6242129246344 59.2215492222199,37.8816640612181 59.3663085303502)"
80470,63851,5974,132000;220000;132000;220000;132000,2;7,,16.7;50;16.7;50;16.7,,,,5778.65698366155,,,,,"","SRID=4326;LINESTRING(8.18114090812055 47.4062534977426,8.10572748287089 47.4064638178409)"
52442,26150,61703,380000;110000,9,4;1,,380 KV,RWE,4153,1585.04443416642,,,,,"","SRID=4326;LINESTRING(6.79451221533707 51.3123012954742,6.79245130041224 51.3260616712243)"
39141,26016,26017,380000;220000,12,4;2,50,,RWE,4301,3406.14039695222,,,,,"","SRID=4326;LINESTRING(7.41755396216647 51.6446851717665,7.45658225783185 51.6602453704463)"
31155,46857,25022,,,,,,,,772.482864841812,,,,,"","SRID=4326;LINESTRING(26.0766829423719 47.9527831946004,26.0809530236859 47.9598135888635)"
32099,46907,31213,,,,,,,,496.054291398522,,,,,"","SRID=4326;LINESTRING(22.7745487835644 46.1395130460115,22.7688826272744 46.1401712192237)"
7781,6542,21282,,,,,,,,1354.71169427354,,,,,"","SRID=4326;LINESTRING(8.25637454742491 47.0586339763276,8.27323084031668 47.0570272496656)"
59184,39560,43203,225000,,,,,,,1958.72773810358,,,,,"","SRID=4326;LINESTRING(2.47497980774031 50.6237476299657,2.50442626746064 50.6189922919803)"
81413,63606,6579,400000,3;6;3,2,,,,,5403.52769996363,,,,,"","SRID=4326;LINESTRING(-5.574732022018 36.0624910169833,-5.60606444849094 36.0323467199753)"
16588,63723,22792,380000;110000,6;3,4;1,50,,,,4493.78812430925,,,,,"","SRID=4326;LINESTRING(8.28731988824138 50.7578393006068,8.32089190670256 50.7294840874106)"
22309,30345,57520,225000,3,,,,,,791.193460533216,,,,,"","SRID=4326;LINESTRING(6.00294732969061 44.2490984956623,6.01264922459063 44.2505995102835)"
78929,2932,39170,380000,6,,50,,50Hertz,,3711.25642085868,,,,,"","SRID=4326;LINESTRING(11.8942662085418 51.4057031779769,11.9465331773719 51.4012177577637)"
21248,2843,64206,225000,3,,,,,,5509.74174217046,,,,,"","SRID=4326;LINESTRING(0.183750284217982 47.9215045707755,0.24752026625031 47.8945226713036)"
59475,22827,43407,220000,3,,,San Floriano-Cardano,,22.249,22496.1307765345,,,,,"","SRID=4326;LINESTRING(11.3622553515707 46.4624372807691,11.2453219074538 46.2904526430204)"
2516,46525,55787,,,,,,,,191.826358838893,,,,,"","SRID=4326;LINESTRING(23.7208268586273 44.3891570654118,23.7243918962199 44.389100681255)"
30894,12390,65075,,3,,,,,,14748.171801751,,,,,"","SRID=4326;LINESTRING(12.354932573506 43.296071033878,12.270573556042 43.4010795977976)"
79003,9438,5118,,,,,,,,17215.2637185028,,,,,"","SRID=4326;LINESTRING(13.5581559868104 41.2273151196016,13.4297671850602 41.3429848672381)"
14086,22386,56313,380000,6,,,,,,2878.72321752432,,,,,"","SRID=4326;LINESTRING(7.99538619569198 47.5783674856311,7.96630260954791 47.5946750128787)"
65558,13477,13478,,,,,,,,22.782741235388,,,,,"","SRID=4326;LINESTRING(9.14395688599116 40.1282744258716,9.1455361243531 40.1286479510201)"
25597,58011,58012,220000,6,,,220kV Groszowice - Kędzierzyn; Wielopole - Blachownia,,,6978.31974128018,,,,,"","SRID=4326;LINESTRING(18.2437508968799 50.3354489906435,18.2929061702378 50.381162860699)"
53083,48179,27842,220000,6,,50,,,,40222.3810611275,,,,,"","SRID=4326;LINESTRING(7.20930826028711 46.1583167367029,7.18575717782869 45.8657974669404)"
62995,40950,45708,220000,3;6,,,,,22.203,10266.8408796439,,,,,"","SRID=4326;LINESTRING(17.3203930992683 40.531158174183,17.2161247378855 40.5148852300688)"
27523,63079,30782,,3,,,,,,3567.90006800876,,,,,"","SRID=4326;LINESTRING(5.97270143032555 46.1614440069188,5.95585117462702 46.1909172763108)"
38779,66044,59854,380000,3,2,,Oberbachern - Ottenhofen,TenneT TSO GmbH,462,434.202942045013,,,,,"","SRID=4326;LINESTRING(11.8270192453984 48.2267738769654,11.8224260695192 48.2292075683419)"
15138,36967,56481,400000,6,,,National Grid Rayleigh Main-Tilbury,,,10793.2313880375,,,,,"","SRID=4326;LINESTRING(0.566550914757693 51.5940119543363,0.471621273380567 51.5216115685188)"
22310,20016,57521,225000,3,,,,,,42784.8166304067,,,,,"","SRID=4326;LINESTRING(5.92415580711785 43.9210486154339,6.03612561656275 44.2532086763192)"
18344,7485,23035,220000,6,,50,,,,9225.13818314131,,,,,"","SRID=4326;LINESTRING(-8.60995281522297 41.0688428911846,-8.52194438943052 41.0446382042665)"
2000,62647,28732,220000,3,,50,,Red Eléctrica Española,,8863.15934972623,,,,,"","SRID=4326;LINESTRING(-8.34892391192202 43.1847018229235,-8.36417175918438 43.2632996300856)"
6453,45940,29302,132000,,,50,,,,16464.4249749218,,,,,"","SRID=4326;LINESTRING(-5.6928142324394 43.3183245157985,-5.87382460084775 43.3131436028904)"
11130,21699,20285,220000,6;3;3;3,,,,,,1987.09206727941,,,,,"","SRID=4326;LINESTRING(5.69457369334782 50.7462449599731,5.66978256837406 50.7535124960447)"
58315,8676,8677,220000,3,,,,,,28631.4923280787,,,,,"","SRID=4326;LINESTRING(2.74436494875914 39.6002667420688,3.03948760450681 39.6737541792535)"
22490,36579,57548,380000;150000,6,,50,,Elia,,2023.17305815055,,,,,"","SRID=4326;LINESTRING(4.24821745869824 51.3695515064133,4.26745385390053 51.3535238692661)"
32694,49596,59116,220000,3,,,,,,2664.55958929496,,,,,"","SRID=4326;LINESTRING(7.06160939232783 46.1103922787822,7.03261786791522 46.1223716777706)"
11819,57380,20489,330000,3,2,,,,,3450.01831876412,,,,,"","SRID=4326;LINESTRING(34.6317546238089 47.5386877923706,34.6275457373793 47.5084294301087)"
77904,45977,53775,,3,,,,,,2183.33239654456,,,,,"","SRID=4326;LINESTRING(12.6852856809551 38.0585167539702,12.7077810770434 38.0478915935796)"
9778,56465,54283,400000,6,,,,,,13105.320473016,,,,,"","SRID=4326;LINESTRING(-2.10510565876717 53.4041770784234,-2.04330827175801 53.4923778140686)"
20965,54365,23427,220000,,,,,,,183.920982318511,,,,,"","SRID=4326;LINESTRING(11.0554486100263 43.8066366231637,11.0593463123745 43.8083152077396)"
21250,42866,64207,,,,,,,,1773.60869838193,,,,,"","SRID=4326;LINESTRING(0.563685495249152 44.2278448544325,0.54134931421768 44.231376073563)"
10956,9891,21594,330000,3,2,50,,Черкасиобленерго,Крем ГЕС - Черкаси,78238.9610999611,,,,,"","SRID=4326;LINESTRING(31.9707783031476 49.3593303989364,31.4735247083859 49.7613337588427)"
39924,64352,26138,220000;110000,6,1,,Gladbeck West+Gelsenkirchen Süd,RWE,2343,1004.01694686128,,,,,"","SRID=4326;LINESTRING(7.08527252846236 51.4820207691552,7.09969695664252 51.4821948090496)"
49296,27321,27322,380000,,,,,,,104.597305107285,,,,,"","SRID=4326;LINESTRING(9.45139986270557 45.6560781068806,9.45132368556948 45.6563229833633)"
9707,43079,21555,380000,,,,,,21.321,9552.39524072569,,,,,"","SRID=4326;LINESTRING(17.9076347285753 40.5986858530316,17.9779158931576 40.6431800579399)"
14175,40019,22405,220000,6,,50,,,,916.023898174629,,,,,"","SRID=4326;LINESTRING(6.17791450795649 49.9530651407752,6.19084668002849 49.9551682001434)"
52177,32152,61661,380000;220000;110000,12,4;2;1,,,RWE,4550,975.842758438841,,,,,"","SRID=4326;LINESTRING(7.14185570141001 51.5131476764497,7.14629239076675 51.5048312824945)"
12161,27356,20856,,,,,,,,4312.214332926,,,,,"","SRID=4326;LINESTRING(29.3487655820054 48.5501783095264,29.3923498629485 48.5232211069359)"
38385,65995,31969,220000;110000,3,,,220kV Klikowa - Niziny;110kV Połaniec - Grzybów,,,3321.98044643434,,,,,"","SRID=4326;LINESTRING(21.0554499782317 50.4960599962515,21.0497100130608 50.4664400170215)"
53017,59977,28395,220000,6,1,50,220kV Utfort West+Uerdingen West,RWE,2339,4338.34851651966,,,,,"","SRID=4326;LINESTRING(6.58449050365482 51.4393552658584,6.61389829178493 51.4736192957669)"
67405,21836,14620,400000,3,2,50,,Svenska Kraftnät,,44466.094545736,,,,,"","SRID=4326;LINESTRING(14.1465404820459 56.0882438663717,13.6023686982877 55.8331460398898)"
53010,7675,61790,225000,,,,,RTE,,15507.5619419099,,,,,"","SRID=4326;LINESTRING(2.22190503368069 44.9467185649561,2.19484771497682 45.0859881888719)"
56601,4770,41647,400000,3,,,,RTE,,2527.97210164179,,,,,"","SRID=4326;LINESTRING(2.8654781099375 48.3801306701761,2.84839581008127 48.3732641706304)"
51690,3012,61584,380000;110000,6,,50,Herbertingen - Tiengen,,5200,136.082942143411,,,,,"","SRID=4326;LINESTRING(8.25885999852837 47.634211656147,8.25637643013308 47.6309723602763)"
81395,6572,6573,400000,6;3;3;3;3;6,2,50,,Energinet.dk,,2557.93264102214,,,,,"","SRID=4326;LINESTRING(9.88476674734772 56.6624787172028,9.88173994857657 56.6395646848908)"
74006,8735,18417,380000,3,,,,,21.325,28581.9682966546,,,,,"","SRID=4326;LINESTRING(11.2309948927341 43.7123116283705,11.4789037300519 43.564575659276)"
2852,24861,21880,380000;220000,6,2,50,,Swissgrid,,33560.7247643553,,,,,"","SRID=4326;LINESTRING(9.37935156332111 47.067895217713,9.50858200408968 46.8605446771678)"
61416,20599,10594,225000;63000;225000,6;3,,,,RTE,,20726.8770718687,,,,,"","SRID=4326;LINESTRING(4.58388046189937 43.8290886004881,4.33619127933143 43.8121073595427)"
71363,13871,50627,220000,3,,,,,,37512.6137205912,,,,,"","SRID=4326;LINESTRING(19.2705432543393 42.4641724096706,19.4562934133366 42.2123432095166)"
47088,42634,60975,220000,6,,,,,,6204.95366900668,,,,,"","SRID=4326;LINESTRING(39.7457191816545 47.3054620141319,39.8210136285303 47.3231394950443)"
13291,7254,54969,132000,3;6;6;3,,,Sundon-?,,,4455.60701717518,,,,,"","SRID=4326;LINESTRING(-0.513585852394443 51.896506889178,-0.50109904681858 51.9342790351347)"
40630,28819,60117,400000;275000,6,4,,National Grid Lower Shelf-Monk Fryston,National Grid,,19508.2548839711,,,,,"","SRID=4326;LINESTRING(-1.55155381097236 53.713456395051,-1.80531215663936 53.7437310776324)"
30421,41017,65033,220000,3,,,,Red Eléctrica de España,,39449.8606955579,,,,,"","SRID=4326;LINESTRING(-6.28769395186069 42.9391098027112,-5.84021778546694 43.0298994106107)"
57766,42370,8291,150000;220000,3;6;3,,,,,,11556.4007354958,,,,,"","SRID=4326;LINESTRING(14.3715345029468 41.0190501678117,14.4649178103741 41.0714690202281)"
25196,44531,24080,220000,6,,,,Red Eléctrica de España,,18180.2693623668,,,,,"","SRID=4326;LINESTRING(-1.69275428599388 41.8625260525627,-1.90080073572153 41.8259390945301)"
67457,43039,14639,400000,3,,,,,,92063.3165745093,,,,,"","SRID=4326;LINESTRING(19.8454934215613 45.3398389295646,20.1097032145115 44.6837144278926)"
15529,22608,56538,150000;60000;150000;150000;150000,3,1,50,150KV Ensted DK,EON_Netz,,279.356589328144,,,,,"","SRID=4326;LINESTRING(9.39055750750133 54.9423008107464,9.38970617410657 54.9398291786814)"
19176,23164,57007,220000,3,2;1,,,,,354.609504433892,,,,,"","SRID=4326;LINESTRING(-0.463924148700117 39.5607566756188,-0.460382091534834 39.561348115796)"
44441,35052,66718,,,,,,,,1263.18797814882,,,,,"","SRID=4326;LINESTRING(7.30419995820832 60.8603999706508,7.31471770304937 60.8501422848198)"
58775,64248,43006,220000,6,,,,,,54.8315428245099,,,,,"","SRID=4326;LINESTRING(-8.41721654781965 40.164126171559,-8.4194623757356 40.1651768996996)"
18936,23098,23127,400000;225000,6,4,,,RTE,,768.762516974375,,,,,"","SRID=4326;LINESTRING(4.5363445916024 46.5836256595131,4.53477083305615 46.5904672166142)"
22632,55655,57572,220000;110000,9,1;2;1,50,220 kV Windesheim; 110 kV Rosengarten Ost|West,RWE,2327,2198.4608797918,,,,,"","SRID=4326;LINESTRING(8.01904745395109 49.8161677038704,8.04474906971199 49.8049827033782)"
