v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
60537,16.4486770191967,49.2789250724201,joint,400000,50,434,ČEPS,434,SRID=4326;POINT(16.4486770191967 49.2789250724201)
57052,1.85966732801933,48.1119580678261,joint,225000,50,,RTE,,SRID=4326;POINT(1.85966732801933 48.1119580678261)
23463,37.0790982835632,47.9834456942662,joint,330000,50,,,,SRID=4326;POINT(37.0790982835632 47.9834456942662)
55421,-2.32924160709104,55.6692110056048,merge,400000;132000,,Eccles Substation,,,SRID=4326;POINT(-2.32924160709104 55.6692110056048)
67772,4.48685047371938,45.4428686997115,joint,225000,,,RTE,,SRID=4326;POINT(4.48685047371938 45.4428686997115)
16441,24.3250583148645,50.102230103093,substation,,,,,,SRID=4326;POINT(24.3250583148645 50.102230103093)
28529,6.63196908499519,45.9830863516548,joint,225000;20000,,,RTE,,SRID=4326;POINT(6.63196908499519 45.9830863516548)
57831,3.32648170918848,49.6477360975167,joint,225000,,,RTE,,SRID=4326;POINT(3.32648170918848 49.6477360975167)
15004,18.3332792185072,42.6772808649942,substation,400000,,Trebinje,,,SRID=4326;POINT(18.3332792185072 42.6772808649942)
54064,0.394015417162739,46.5981395114599,merge,,,,,,SRID=4326;POINT(0.394015417162739 46.5981395114599)
565,11.3841463068979,48.2500528127884,sub_station,,,,Isar-Amperwerke,14662,SRID=4326;POINT(11.3841463068979 48.2500528127884)
64490,0.31241141827161,51.4234779154801,joint,400000,,National Grid Northfleet West-Rowdown,,,SRID=4326;POINT(0.31241141827161 51.4234779154801)
64582,30.8439199239265,59.8014893720309,joint,330000,,,,,SRID=4326;POINT(30.8439199239265 59.8014893720309)
5412,6.82242865722723,51.3425162813286,substation,110000,50,Station Lintorf,RWE,,SRID=4326;POINT(6.82242865722723 51.3425162813286)
9202,15.0384792697626,40.4681185048197,sub_station,,,,,,SRID=4326;POINT(15.0384792697626 40.4681185048197)
5296,18.1458609061252,48.9630871089966,substation,,,,,,SRID=4326;POINT(18.1458609061252 48.9630871089966)
65676,12.7448587833976,45.950018473003,joint,,,,,,SRID=4326;POINT(12.7448587833976 45.950018473003)
61963,6.92904076818332,51.5034438856652,joint,380000;380000;220000;110000;380000;220000;110000,,380kV Büscherhof West;110kV Lirich West+Thyssen Ost,RWE,4566,SRID=4326;POINT(6.92904076818332 51.5034438856652)
48026,28.4642328466686,45.2543723837649,station,,,,,,SRID=4326;POINT(28.4642328466686 45.2543723837649)
6753,21.2547318857611,48.8589411907765,station,,,Elektrická stanica Lemešany,"Východoslovenská energetika, a.s.",,SRID=4326;POINT(21.2547318857611 48.8589411907765)
8867,-3.8670112973167,55.6153506944473,substation,400000;132000,,Coalburn Substation,SP Transmission,,SRID=4326;POINT(-3.8670112973167 55.6153506944473)
221,16.3508181454059,49.0845144873285,substation,,,,,,SRID=4326;POINT(16.3508181454059 49.0845144873285)
33091,6.55678978405913,60.122323106344,joint,,,,,,SRID=4326;POINT(6.55678978405913 60.122323106344)
29715,22.9977678819448,63.710317388429,joint,220000,,,,,SRID=4326;POINT(22.9977678819448 63.710317388429)
5098,29.1697877575,53.1347874045374,substation,,,,,,SRID=4326;POINT(29.1697877575 53.1347874045374)
32976,-7.24877651029247,55.0423706063649,joint,275000,50,,,,SRID=4326;POINT(-7.24877651029247 55.0423706063649)
2973,-3.74208675196667,40.4340605446895,substation,,,,,,SRID=4326;POINT(-3.74208675196667 40.4340605446895)
5455,10.8637616674018,48.5468231412265,substation,380000;110000,,Umspannwerk Meitingen,Elektrizitätswerke Augsburg,122 U,SRID=4326;POINT(10.8637616674018 48.5468231412265)
23506,9.13889142638328,49.1458215007688,joint,220000,,,RWE,Anlage 232,SRID=4326;POINT(9.13889142638328 49.1458215007688)
30559,0.899001327502003,49.36063196262,joint,225000;90000;225000,,,RTE,,SRID=4326;POINT(0.899001327502003 49.36063196262)
25963,5.03283545412923,45.7613838979293,joint,225000,,,RTE,,SRID=4326;POINT(5.03283545412923 45.7613838979293)
53885,27.5224100305095,66.7320877505591,substation,,,,,,SRID=4326;POINT(27.5224100305095 66.7320877505591)
63183,42.0225297756634,44.6638047441879,joint,110000,,,,,SRID=4326;POINT(42.0225297756634 44.6638047441879)
56993,-0.125800252051155,39.9698442137936,joint,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-0.125800252051155 39.9698442137936)
6752,28.2915292439966,44.2446287579767,station,,,,,,SRID=4326;POINT(28.2915292439966 44.2446287579767)
7902,17.0768852675995,41.044287999351,sub_station,,,,,,SRID=4326;POINT(17.0768852675995 41.044287999351)
63756,6.76010072124289,49.3662406986307,joint,220000;110000;220000;220000;110000,50,220 kV Saar Nord; 110 kV Merzig - Saarwellingen,Amprion,2340,SRID=4326;POINT(6.76010072124289 49.3662406986307)
31290,21.1771131290734,45.8173867778687,joint,220000,,,,,SRID=4326;POINT(21.1771131290734 45.8173867778687)
32883,40.6463665774638,57.0061123656056,joint,220000,,,,,SRID=4326;POINT(40.6463665774638 57.0061123656056)
44569,-3.82034010666586,40.1320881300892,substation,220000,50,,,,SRID=4326;POINT(-3.82034010666586 40.1320881300892)
64078,14.2108965710036,41.0187052800063,joint,220000,,Santa Maria Capua Vetere-Fratta;Aversa-Santa Maria Capua Vetere,,22.266,SRID=4326;POINT(14.2108965710036 41.0187052800063)
15856,37.5003252904084,48.1074995414051,substation,,,,,,SRID=4326;POINT(37.5003252904084 48.1074995414051)
62942,11.004555719505,46.63919219118,joint,220000,,Ala-Maso Pill-Castelbello,,22.236,SRID=4326;POINT(11.004555719505 46.63919219118)
45520,10.0195845134246,45.5690747555659,sub_station,,,,,,SRID=4326;POINT(10.0195845134246 45.5690747555659)
43171,14.8087433017797,40.9207557039765,station,,,,,,SRID=4326;POINT(14.8087433017797 40.9207557039765)
3162,27.9039823740351,59.268521495195,substation,330000,,Eesti EJ alajaam,Elering,,SRID=4326;POINT(27.9039823740351 59.268521495195)
46715,24.650086535291,49.2084053878217,substation,,,,,,SRID=4326;POINT(24.650086535291 49.2084053878217)
27824,14.8743045642826,56.8298878749765,joint,,,,,,SRID=4326;POINT(14.8743045642826 56.8298878749765)
40288,9.70176819102121,45.0926728719084,substation,380000,,San Rocco Po,Terna,,SRID=4326;POINT(9.70176819102121 45.0926728719084)
55373,38.8745546000555,48.5651253220864,merge,110000;220000;110000;35000;110000;110000,50,Черкаська-220,,,SRID=4326;POINT(38.8745546000555 48.5651253220864)
27134,8.40206798768896,52.4960159800192,joint,380000;380000;220000;110000;220000;110000,50,Dümmersee Süd;Leitung 3017,Amprion,4126,SRID=4326;POINT(8.40206798768896 52.4960159800192)
20016,5.92415580711785,43.9210486154339,substation,225000,,Poste électrique d'Oraison,RTE,,SRID=4326;POINT(5.92415580711785 43.9210486154339)
47030,23.6412663083893,46.7710130346905,station,,,,,,SRID=4326;POINT(23.6412663083893 46.7710130346905)
50617,10.4218496395611,61.13824903414,substation,300000,,Fåberg trafostasjon,Eidsiva nett,,SRID=4326;POINT(10.4218496395611 61.13824903414)
64213,18.2544428250546,49.0922915925291,joint,220000,,,,,SRID=4326;POINT(18.2544428250546 49.0922915925291)
42569,13.3941460664943,43.2145146443519,substation,220000,,Abbadia,Enel Distribuzione,,SRID=4326;POINT(13.3941460664943 43.2145146443519)
29235,17.2656485976403,48.1192309120008,joint,400000,50,,,,SRID=4326;POINT(17.2656485976403 48.1192309120008)
66353,11.3549245598631,62.8118038108149,joint,,,,,,SRID=4326;POINT(11.3549245598631 62.8118038108149)
55945,21.6598533928824,61.1891696179609,joint,400000;400000;110000,,,,,SRID=4326;POINT(21.6598533928824 61.1891696179609)
62619,30.5861503382909,50.4964752309496,joint,,,,Київобленерго,,SRID=4326;POINT(30.5861503382909 50.4964752309496)
67522,-5.72871161604823,43.5562666178308,joint,220000,50,,,,SRID=4326;POINT(-5.72871161604823 43.5562666178308)
47308,21.2350320800714,45.4008362326096,station,,,,,,SRID=4326;POINT(21.2350320800714 45.4008362326096)
18248,24.1211227234448,49.4592972328903,substation,,,,,,SRID=4326;POINT(24.1211227234448 49.4592972328903)
40426,5.69977995845454,45.1801665284851,substation,,,,RTE,,SRID=4326;POINT(5.69977995845454 45.1801665284851)
22264,37.0309224683592,54.48766772453,joint,220000,,,,,SRID=4326;POINT(37.0309224683592 54.48766772453)
63631,21.4963035938051,61.6235866073017,joint,400000,,,,,SRID=4326;POINT(21.4963035938051 61.6235866073017)
30303,-4.80343025457236,37.8260377106067,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-4.80343025457236 37.8260377106067)
31697,6.89406270663944,50.847981186533,joint,380000;220000;380000;380000;220000,50,380 kV Walberberg West; 220 kV Knapsack 2b;380 kV Sechtem Nord|Süd;380 kV Sechtem Nord|Süd; Walberberg West; 220 kV Knapsack 2b,RWE,4101,SRID=4326;POINT(6.89406270663944 50.847981186533)
50285,25.1603665973346,47.372425776853,substation,,,,,,SRID=4326;POINT(25.1603665973346 47.372425776853)
62569,9.37688300333541,45.5229901606548,joint,380000,,,,21.302,SRID=4326;POINT(9.37688300333541 45.5229901606548)
9454,-8.77559476733818,40.1234777779769,station,,,,,,SRID=4326;POINT(-8.77559476733818 40.1234777779769)
58510,-1.68305063798694,42.0948224691888,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-1.68305063798694 42.0948224691888)
56008,17.6286709175403,48.3201313260741,joint,,,,,,SRID=4326;POINT(17.6286709175403 48.3201313260741)
44588,37.7849260484307,44.7433200015052,substation,,,,,,SRID=4326;POINT(37.7849260484307 44.7433200015052)
5857,43.8238542069485,40.7756301132755,station,,,,,,SRID=4326;POINT(43.8238542069485 40.7756301132755)
64244,-6.49518502867325,41.3314100967168,joint,400000;400000;220000;220000,,,,,SRID=4326;POINT(-6.49518502867325 41.3314100967168)
57953,2.26031810069332,49.1318506177919,joint,225000,,,,,SRID=4326;POINT(2.26031810069332 49.1318506177919)
55146,8.18355007158923,47.6009086670334,merge,380000,,Leibstadt;Kernkraftwerk Leibstadt,,,SRID=4326;POINT(8.18355007158923 47.6009086670334)
33648,6.73808651705873,51.0283189687938,joint,380000;220000;110000;110000;380000;220000,50,380 kV Knechtsteden West; St. Peter Süd; 220 kV Frixheim Nord|Süd; 110 kV Gohr Ost|West;110 kV Gohr Ost|West;380 kV Knechtsteden West; St. Peter Süd; 220 kV Frixheim Nord|Süd,RWE,4570,SRID=4326;POINT(6.73808651705873 51.0283189687938)
48272,30.0002528353016,52.8527826918165,substation,,,,,,SRID=4326;POINT(30.0002528353016 52.8527826918165)
20162,7.59764642125137,51.3474174557822,merge,110000,50,Umspannanlage Oege,markE,,SRID=4326;POINT(7.59764642125137 51.3474174557822)
65020,7.08627504831944,48.7655555616107,joint,225000;400000;225000;400000,,ligne 225 kV Bergholz - Marlenheim;ligne 400 kV Marlenheim - Vigy & ligne 225 kV Marlenheim - Bergholz;ligne 400 kV Marlenheim - Vigy,RTE,,SRID=4326;POINT(7.08627504831944 48.7655555616107)
28865,24.6985014682009,43.1477151297555,joint,,,Плевен - Ловеч,,,SRID=4326;POINT(24.6985014682009 43.1477151297555)
22929,5.79828613480328,50.1499684118195,joint,220000;380000;220000;380000;220000,50,,,,SRID=4326;POINT(5.79828613480328 50.1499684118195)
64254,-9.14658145437298,38.9007816941247,joint,400000,,,,,SRID=4326;POINT(-9.14658145437298 38.9007816941247)
54679,36.5270110078199,49.5842010736009,merge,330000,50,"ПС 330 кВ ""Зміївська ТЕС"";Зміївська ТЕС",Центренерго,,SRID=4326;POINT(36.5270110078199 49.5842010736009)
32314,6.65597079828514,58.4561211016288,joint,,,,,,SRID=4326;POINT(6.65597079828514 58.4561211016288)
59814,24.1086582491102,60.0704082012653,joint,,,,,,SRID=4326;POINT(24.1086582491102 60.0704082012653)
43062,-4.81224902706756,37.8580242062569,substation,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-4.81224902706756 37.8580242062569)
40431,14.6951771497719,48.1642069673468,substation,110000,50,Umspannwerk Wallsee,Austrian Power Grid AG,,SRID=4326;POINT(14.6951771497719 48.1642069673468)
26198,10.9880897880815,50.6660733618584,joint,110000;380000;110000;380000,,"Law - Atf 1, Law - Atf 2;467, 468;Law - Atf 1, Law - Atf 2;467, 468",Thüringer_Energienetze,,SRID=4326;POINT(10.9880897880815 50.6660733618584)
45977,12.6852856809551,38.0585167539702,station,,,,,,SRID=4326;POINT(12.6852856809551 38.0585167539702)
31962,23.3271616811681,38.2791883831348,joint,400000,,Ζυγοί 400kV,,,SRID=4326;POINT(23.3271616811681 38.2791883831348)
46923,7.75033772737717,48.1842951339415,substation,,,Riegel Ziegelei Winkler,EnBW Regional AG,,SRID=4326;POINT(7.75033772737717 48.1842951339415)
7808,10.3903812732367,63.3519857588423,substation,,,,,,SRID=4326;POINT(10.3903812732367 63.3519857588423)
60476,26.0876380165357,44.3207800717621,joint,,,,,,SRID=4326;POINT(26.0876380165357 44.3207800717621)
61592,8.6058429945485,49.1616907641985,joint,380000,50,Philippsburg - Pulverdingen 2x 380 kV,EnBW,Anlage 337,SRID=4326;POINT(8.6058429945485 49.1616907641985)
5515,6.05718594311781,46.2318409640947,substation,,,,,,SRID=4326;POINT(6.05718594311781 46.2318409640947)
28370,8.58892089055237,49.8114475771879,joint,220000;110000;220000,50,220 kV Rheinau Ost|West;110 kV Heppenheim Ost|West;220 kV Rheinau Ost|West; 110 kV Heppenheim Ost|West;220 kV Rheinau Ost|West,RWE,0112,SRID=4326;POINT(8.58892089055237 49.8114475771879)
4858,-3.86739896525171,43.4360223976038,substation,220000;66000,50,Subestación de Cacicedo,,,SRID=4326;POINT(-3.86739896525171 43.4360223976038)
60726,42.798114742076,44.0322433979938,joint,,,,,,SRID=4326;POINT(42.798114742076 44.0322433979938)
23412,7.22217128618576,49.362657312554,joint,380000;220000;380000;220000,50,"380 kV Bliestal Süd;Bürstadt Ltg.;220 kV Osburg Ltg.;Barbara Ltg.;380kV Bliestal Süd, 380kV Bürstadt Ltg.;Barbara Ltg. | Otterbach Süd",Amprion,,SRID=4326;POINT(7.22217128618576 49.362657312554)
10725,26.4458340047045,55.9714005096734,substation,,,,,,SRID=4326;POINT(26.4458340047045 55.9714005096734)
57807,4.14297601177913,48.3300767792224,joint,,,,RTE,,SRID=4326;POINT(4.14297601177913 48.3300767792224)
63015,2.96819096909962,48.2428623704503,joint,400000,,,RTE,,SRID=4326;POINT(2.96819096909962 48.2428623704503)
30528,11.0416327926131,45.3925684171112,joint,220000,,Verona Borgo Milano-Dugale;Bussolengo-Riva Acciaio,,22.230,SRID=4326;POINT(11.0416327926131 45.3925684171112)
21088,9.9328526487961,46.463707444156,merge,,,Montebello,Repower,,SRID=4326;POINT(9.9328526487961 46.463707444156)
68082,6.82674807964464,58.8763626028581,joint,,,,,,SRID=4326;POINT(6.82674807964464 58.8763626028581)
28366,32.4155554816645,55.6070538874107,joint,220000,,,,,SRID=4326;POINT(32.4155554816645 55.6070538874107)
43026,-6.34164518419734,38.8965536593624,substation,220000,50,Subestación de Mérida,Red Eléctrica de España,,SRID=4326;POINT(-6.34164518419734 38.8965536593624)
32028,10.7026695101626,52.3633674112391,joint,380000;380000;110000;110000,50,"Leitung 3023;Leitung 3023 - Leitung 1818;Leitung 1818 (System 120,123)",TenneT,120;123,SRID=4326;POINT(10.7026695101626 52.3633674112391)
23068,5.14402083515999,48.2941480048926,joint,225000;63000,,ligne 225 kV Creney - Froncles - Muremont,RTE,,SRID=4326;POINT(5.14402083515999 48.2941480048926)
30413,7.94205222912699,50.8371650883706,joint,220000;110000;220000;220000;110000,50,,Amprion,2319,SRID=4326;POINT(7.94205222912699 50.8371650883706)
26187,26.2487709850049,44.4003059849114,joint,220000,,,,,SRID=4326;POINT(26.2487709850049 44.4003059849114)
8964,-7.91278017222342,40.1329625830428,substation,220000,50,,,,SRID=4326;POINT(-7.91278017222342 40.1329625830428)
62859,10.4075153871909,45.2233189329998,joint,,,,,,SRID=4326;POINT(10.4075153871909 45.2233189329998)
37791,12.7534432939325,45.9479468741528,substation,,,,,,SRID=4326;POINT(12.7534432939325 45.9479468741528)
28215,13.2636050477624,52.5291928075588,joint,110000;380000,50,"671, 672;903, 904",Vattenfall Europe AG,671;672,SRID=4326;POINT(13.2636050477624 52.5291928075588)
65232,25.7173023304288,44.3109140130715,joint,,,,,,SRID=4326;POINT(25.7173023304288 44.3109140130715)
16288,-6.39671478672771,53.0328897212947,substation,,,Turlough Hill station,,,SRID=4326;POINT(-6.39671478672771 53.0328897212947)
6975,2.52703430824323,48.8722617878458,substation,,,Avron,,,SRID=4326;POINT(2.52703430824323 48.8722617878458)
67891,44.0696418483476,56.2420124661952,joint,220000,,,,,SRID=4326;POINT(44.0696418483476 56.2420124661952)
17112,-8.36095083503661,41.4297542957628,substation,,,,,,SRID=4326;POINT(-8.36095083503661 41.4297542957628)
67093,22.2562479611136,61.1724332102899,joint,400000,,,,,SRID=4326;POINT(22.2562479611136 61.1724332102899)
22828,11.2991741251839,46.4813699065065,joint,220000,,,,22.246,SRID=4326;POINT(11.2991741251839 46.4813699065065)
58030,19.2099099156966,50.083659279666,joint,220000,,220kV Byczyna - Poręba;220kV Komorowice - Bieruń; Byczyna - Poręba;220kV Komorowice - Bieruń,,,SRID=4326;POINT(19.2099099156966 50.083659279666)
7481,9.42998939162149,45.3320508996735,substation,220000,,Tavazzano ST,Terna,,SRID=4326;POINT(9.42998939162149 45.3320508996735)
45523,5.20386874527585,43.4969983307909,substation,,,,,,SRID=4326;POINT(5.20386874527585 43.4969983307909)
22063,-9.11370038990068,38.8621081327067,joint,220000,,,,,SRID=4326;POINT(-9.11370038990068 38.8621081327067)
8940,-6.8864755420518,41.5010010649853,substation,220000,50,,,,SRID=4326;POINT(-6.8864755420518 41.5010010649853)
67672,37.9280714447458,59.054933093888,joint,220000,,,,,SRID=4326;POINT(37.9280714447458 59.054933093888)
59349,24.588505485379,43.3965323909503,joint,220000,,Вит,,,SRID=4326;POINT(24.588505485379 43.3965323909503)
40543,17.2837256253689,48.3026603446135,sub_station,,,,,,SRID=4326;POINT(17.2837256253689 48.3026603446135)
56992,0.144191460862934,40.1580063638588,joint,220000;138000,50,,,,SRID=4326;POINT(0.144191460862934 40.1580063638588)
5193,11.1554910961667,59.314393669753,substation,420000;300000;132000,,Hasle Transformatorstasjon,,,SRID=4326;POINT(11.1554910961667 59.314393669753)
35818,24.1052968431485,60.0674909989479,sub_station,,,,,,SRID=4326;POINT(24.1052968431485 60.0674909989479)
30147,34.3213498622189,61.7694794722965,joint,220000,,,,,SRID=4326;POINT(34.3213498622189 61.7694794722965)
31670,12.6612491663065,45.8314431602016,joint,,,,,,SRID=4326;POINT(12.6612491663065 45.8314431602016)
18386,12.7671602116247,48.0452059146229,substation,,,,,,SRID=4326;POINT(12.7671602116247 48.0452059146229)
41330,6.1335825608215,46.1599304705799,sub_station,,,,,,SRID=4326;POINT(6.1335825608215 46.1599304705799)
61883,13.1147763037398,46.2424474945547,joint,220000,,Buia - Somplago;Udine Nord Est - Buia,,22.195,SRID=4326;POINT(13.1147763037398 46.2424474945547)
15920,9.38765132401602,51.6407335383064,substation,380000;220000;110000,,Umspannanlage Würgassen,Tennet TSO,,SRID=4326;POINT(9.38765132401602 51.6407335383064)
40572,9.56708978781776,56.4786417322128,substation,400000;350000;250000;150000,,Jævnstrømsstation Tjele,Energinet.dk,TJE,SRID=4326;POINT(9.56708978781776 56.4786417322128)
6739,28.0466517047951,44.6615030382166,station,,,,,,SRID=4326;POINT(28.0466517047951 44.6615030382166)
9766,11.8975829407087,47.2337133094852,substation,380000;220000;110000,50,Umspannwerk Zell am Ziller,Austrian Power Grid AG,,SRID=4326;POINT(11.8975829407087 47.2337133094852)
32313,6.37678662506865,58.3291052978141,joint,,,,,,SRID=4326;POINT(6.37678662506865 58.3291052978141)
48385,19.1576238645604,50.2434126827755,substation,,,"Stacja elektroenergetyczna ""Modrzejów"" 110kV",,,SRID=4326;POINT(19.1576238645604 50.2434126827755)
40676,-6.43323331536914,53.3283944402715,substation,,,,,,SRID=4326;POINT(-6.43323331536914 53.3283944402715)
9912,13.3215200709654,43.6068176234461,plant,,,,,,SRID=4326;POINT(13.3215200709654 43.6068176234461)
13146,25.4452139711331,44.902754712949,station,,,,,,SRID=4326;POINT(25.4452139711331 44.902754712949)
63321,26.2229211188511,50.6409264177084,joint,,,,,,SRID=4326;POINT(26.2229211188511 50.6409264177084)
25581,37.7080393566949,55.6427049863757,joint,220000,,,,,SRID=4326;POINT(37.7080393566949 55.6427049863757)
26683,9.25120257612809,53.8976641888984,joint,380000,50,309 AKW Brunsbüttel - UW Wilster,TenneT,309,SRID=4326;POINT(9.25120257612809 53.8976641888984)
38698,-0.0150924232499094,39.9783855971493,substation,220000,50,El Ingenio,Iberdrola,,SRID=4326;POINT(-0.0150924232499094 39.9783855971493)
21398,-2.22681407486074,53.4005298668316,merge,,,,,,SRID=4326;POINT(-2.22681407486074 53.4005298668316)
54902,10.4150839967628,53.4128119969258,merge,380000;110000;110000,50,Krümmel,50Hertz,,SRID=4326;POINT(10.4150839967628 53.4128119969258)
10466,36.0110461635705,45.3407808770573,substation,220000;35000;10000,,ПС 220/35/10 кВ НС-3,,,SRID=4326;POINT(36.0110461635705 45.3407808770573)
21683,7.02504224541865,46.1802794743625,joint,132000;225000,16.7;50,,SBB,,SRID=4326;POINT(7.02504224541865 46.1802794743625)
29811,0.318702679532412,52.2744287687258,joint,,,,,,SRID=4326;POINT(0.318702679532412 52.2744287687258)
65201,22.4134110946792,46.613916167864,joint,,,,,,SRID=4326;POINT(22.4134110946792 46.613916167864)
29874,2.6899627178145,44.7765405902646,joint,225000,50,,RTE,,SRID=4326;POINT(2.6899627178145 44.7765405902646)
42143,12.2524469395662,45.4313456624046,substation,220000,,Stazione IV,Edison,,SRID=4326;POINT(12.2524469395662 45.4313456624046)
27798,8.03912992794677,47.5611522747714,joint,380000,,,RWE,4554,SRID=4326;POINT(8.03912992794677 47.5611522747714)
46962,7.46131798347218,49.4101890254296,substation,,,,,,SRID=4326;POINT(7.46131798347218 49.4101890254296)
64586,-8.40789715556761,43.1727056984304,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-8.40789715556761 43.1727056984304)
45189,9.35579687560526,54.8473628378115,substation,60000,,,,,SRID=4326;POINT(9.35579687560526 54.8473628378115)
50395,43.4126105679078,45.088497313913,substation,,,,,,SRID=4326;POINT(43.4126105679078 45.088497313913)
53481,14.2756377727573,40.9304665843501,substation,220000,,,,,SRID=4326;POINT(14.2756377727573 40.9304665843501)
32831,12.2286014811905,49.9227230807646,joint,110000;380000;220000;110000;380000;220000;110000,,Windischeschenbach - Mitterteich;Arzberg - Mitterteich;Etzenricht - Mechlenreuth - Redwitz;Mechlenreuth - Schwandorf;Windischeschenbach - Mitterteich;Arzberg - Waldsassen - Wiesau;Etzenricht - Mechlenreuth - Redwitz;Mechlenreuth - Schwandorf;Arzberg - Waldsassen - Wiesau;Arzberg - Mitterteich,E.ON Netz GmbH,118;134,SRID=4326;POINT(12.2286014811905 49.9227230807646)
53760,12.8766263045985,38.0248852413146,substation,,,,,,SRID=4326;POINT(12.8766263045985 38.0248852413146)
9325,-3.32728408440026,50.9467683429933,substation,,,,,,SRID=4326;POINT(-3.32728408440026 50.9467683429933)
10651,-0.374366244890462,39.4390298412501,substation,,,,,,SRID=4326;POINT(-0.374366244890462 39.4390298412501)
59252,-2.90181438756203,43.2448743804447,joint,,,,,,SRID=4326;POINT(-2.90181438756203 43.2448743804447)
28726,13.1549635439835,47.8321560718088,joint,220000;3000;220000,,Tauern - Salzburg,Austrian Power Grid AG,231A;232A,SRID=4326;POINT(13.1549635439835 47.8321560718088)
19672,14.3754181876286,41.0558456949628,substation,220000,,Cementir,,,SRID=4326;POINT(14.3754181876286 41.0558456949628)
